dia,SDDP_fila_in,SDDP_adm_in,SDDP_w_proc,SDDP_proc,SDDP_fila_out,SDDP_spill,SDDP_ocioso,SDDP_adm_out,SDDP_custo,SDDP_custo_acum,P_-10_fila_in,P_-10_adm_in,P_-10_w_proc,P_-10_proc,P_-10_fila_out,P_-10_spill,P_-10_ocioso,P_-10_adm_out,P_-10_custo,P_-10_custo_acum,P_-5_fila_in,P_-5_adm_in,P_-5_w_proc,P_-5_proc,P_-5_fila_out,P_-5_spill,P_-5_ocioso,P_-5_adm_out,P_-5_custo,P_-5_custo_acum,P_0_fila_in,P_0_adm_in,P_0_w_proc,P_0_proc,P_0_fila_out,P_0_spill,P_0_ocioso,P_0_adm_out,P_0_custo,P_0_custo_acum,P_+5_fila_in,P_+5_adm_in,P_+5_w_proc,P_+5_proc,P_+5_fila_out,P_+5_spill,P_+5_ocioso,P_+5_adm_out,P_+5_custo,P_+5_custo_acum,P_+10_fila_in,P_+10_adm_in,P_+10_w_proc,P_+10_proc,P_+10_fila_out,P_+10_spill,P_+10_ocioso,P_+10_adm_out,P_+10_custo,P_+10_custo_acum,SDDP_estoc_custo_mean,SDDP_estoc_custo_p5,SDDP_estoc_custo_p95,SDDP_estoc_custo_acum_mean,SDDP_estoc_custo_acum_p5,SDDP_estoc_custo_acum_p95
1,1200.0,3000.0,2138.203,2138.203,2061.797,861.797,0.0,782.2029999979309,1.8520797981999993e7,1.8520797981999993e7,1200.0,3000.0,2138.202999999987,2138.202999999987,2061.7970000000173,861.7970000000133,0.0,1780.2953379309688,1.8520797982000124e7,1.8520797982000124e7,1200.0,3000.0,2138.202999999987,2138.202999999987,2061.7970000000173,861.7970000000133,0.0,1879.2006344827184,1.8520797982000124e7,1.8520797982000124e7,1200.0,3000.0,2138.202999999987,2138.202999999987,2061.7970000000173,861.7970000000133,0.0,1978.1059310343696,1.8520797982000124e7,1.8520797982000124e7,1200.0,3000.0,2138.202999999987,2138.202999999987,2061.7970000000173,861.7970000000133,0.0,2077.011227586088,1.8520797982000124e7,1.8520797982000124e7,1200.0,3000.0,2138.202999999987,2138.202999999987,2061.7970000000173,861.7970000000133,0.0,2175.9165241378364,1.8520797982000124e7,1.8520797982000124e7,1.9089593339e7,2.94624e6,3.7626882e7,1.9089593339e7,2.94624e6,3.7626882e7
2,2061.797,782.2029999979309,2071.028,2071.028,772.9719999979311,0.0,0.0,2071.0280000000134,3.9545027549971044e6,2.2475300736997098e7,2061.7970000000173,1780.2953379309688,2071.027999999978,2071.027999999978,1771.064337930931,571.0643379309512,0.0,1780.2953379309688,1.4604365548612585e7,3.3125163530612707e7,2061.7970000000173,1879.2006344827184,2071.027999999978,2071.027999999978,1869.9696344826502,669.9696344826741,0.0,1879.2006344827184,1.634569219970178e7,3.4866490181701906e7,2061.7970000000173,1978.1059310343696,2071.027999999978,2071.027999999978,1968.8749310343994,768.8749310343993,0.0,1978.1059310343696,1.808701885079184e7,3.660781683279197e7,2061.7970000000173,2077.011227586088,2071.027999999978,2071.027999999978,2067.780227586149,867.7802275861329,0.0,2077.011227586088,1.9828345501880962e7,3.8349143483881086e7,2061.7970000000173,2175.9165241378364,2071.027999999978,2071.027999999978,2166.6855241378703,966.6855241378312,0.0,2175.9165241378364,2.1569672152970783e7,4.00904701349709e7,8.236450784001341e6,2.3505052499971497e6,2.2478517450004425e7,2.7326044123001345e7,5.616269999997189e6,5.27465311e7
3,772.9719999979311,2071.0280000000134,2112.462,2112.462,731.5379999979446,0.0,0.0,2112.4620000005925,2.098791449994236e6,2.4574092186991334e7,1771.064337930931,1780.2953379309688,2112.4620000000414,2112.4620000000414,1438.8976758619062,238.89767586192417,0.0,1780.2953379309688,8.350667232638556e6,4.147583076325126e7,1869.9696344826502,1879.2006344827184,2112.4620000000414,2112.4620000000414,1636.7082689653614,436.7082689653615,0.0,1879.2006344827184,1.1971293423507648e7,4.683778360520955e7,1968.8749310343994,1978.1059310343696,2112.4620000000414,2112.4620000000414,1834.5188620688318,634.5188620688057,0.0,1978.1059310343696,1.55919196143761e7,5.219973644716807e7,2067.780227586149,2077.011227586088,2112.4620000000414,2112.4620000000414,2032.3294551722227,832.3294551722578,0.0,2077.011227586088,1.9212545805244792e7,5.7561689289125875e7,2166.6855241378703,2175.9165241378364,2112.4620000000414,2112.4620000000414,2230.140048275699,1030.1400482756956,0.0,2175.9165241378364,2.283317199611392e7,6.292364213108483e7,6.315557302001565e6,707753.2499969425,2.0890262749961637e7,3.3641601425002895e7,8.958512299991183e6,6.131895614996212e7
4,731.5379999979446,2112.4620000005925,2078.115,2078.115,765.8849999985373,0.0,-0.0,2078.1149999988756,2.088905084995091e6,2.6662997271986425e7,1438.8976758619062,1780.2953379309688,2078.1149999999916,2078.1149999999916,1141.078013792872,0.0,0.0,1780.2953379309688,3.5990660870685223e6,4.507489685031979e7,1636.7082689653614,1879.2006344827184,2078.1149999999916,2078.1149999999916,1437.7939034480685,237.79390344803738,0.0,1879.2006344827184,8.143807499313104e6,5.498159110452266e7,1834.5188620688318,1978.1059310343696,2078.1149999999916,2078.1149999999916,1734.5097931032064,534.509793103206,0.0,1978.1059310343696,1.3643733229961246e7,6.584346967712931e7,2032.3294551722227,2077.011227586088,2078.1149999999916,2078.1149999999916,2031.2256827583196,831.2256827583747,0.0,2077.011227586088,1.9143658960609328e7,7.67053482497352e7,2230.140048275699,2175.9165241378364,2078.1149999999916,2078.1149999999916,2327.9415724135206,1127.9415724135401,0.0,2175.9165241378364,2.464358469125739e7,8.756722682234222e7,6.2808530549989315e6,662903.9999978036,2.0761601699974503e7,3.9922454480001785e7,1.3281415750058642e7,6.986590530014913e7
5,765.8849999985373,2078.1149999988756,2098.585,2098.585,745.4149999974129,0.0,-0.0,2098.5850000002615,2.1082634999943376e6,2.8771260771980762e7,1141.078013792872,1780.2953379309688,2098.5849999999746,2098.5849999999746,822.7883517238363,0.0,0.0,1780.2953379309688,2.7395935798958302e6,4.781449043021561e7,1437.7939034480685,1879.2006344827184,2098.5849999999746,2098.5849999999746,1218.4095379307348,18.40953793072145,0.0,1879.2006344827184,4.00384082011833e6,5.898543192464098e7,1734.5097931032064,1978.1059310343696,2098.5849999999746,2098.5849999999746,1614.0307241375735,414.03072413760964,0.0,1978.1059310343696,1.1383066090545645e7,7.722653576767495e7,2031.2256827583196,2077.011227586088,2098.5849999999746,2098.5849999999746,2009.651910344432,809.6519103444875,0.0,2077.011227586088,1.8762291360973246e7,9.546763961070846e7,2327.9415724135206,2175.9165241378364,2098.5849999999746,2098.5849999999746,2405.2730965513774,1205.2730965513947,0.0,2175.9165241378364,2.614151663140075e7,1.1370874345374297e8,6.437535491002396e6,687734.9999943867,2.1259676499961246e7,4.635998997100421e7,1.8744591499980826e7,7.81712732501951e7
6,745.4149999974129,2098.5850000002615,2051.687,2051.687,792.3129999976745,0.0,-0.0,2051.6870000009635,2.145130559993148e6,3.091639133197391e7,822.7883517238363,1780.2953379309688,2051.6869999999662,2051.6869999999662,551.3966896547963,0.0,0.0,1780.2953379309688,1.9169881327231599e6,4.973147856293878e7,1218.4095379307348,1879.2006344827184,2051.6869999999662,2051.6869999999662,1045.9231724133933,0.0,0.0,1879.2006344827184,3.1587441309299855e6,6.2144176055570975e7,1614.0307241375735,1978.1059310343696,2051.6869999999662,2051.6869999999662,1540.449655171969,340.44965517200626,0.0,1978.1059310343696,9.91952948913007e6,8.714606525680503e7,2009.651910344432,2077.011227586088,2051.6869999999662,2051.6869999999662,2034.9761379305753,834.9761379306145,0.0,2077.011227586088,1.9178054299336847e7,1.1464569391004531e8,2405.2730965513774,2175.9165241378364,2051.6869999999662,2051.6869999999662,2529.502620689151,1329.5026206891923,0.0,2175.9165241378364,2.8436579109542914e7,1.4214532256328586e8,6.584040806996485e6,595664.9999933124,2.1330229200096365e7,5.294403077800067e7,2.3335300099939883e7,8.694069549990195e7
7,792.3129999976745,2051.6870000009635,2136.551,2136.551,707.4489999986381,0.0,-0.0,2136.5509999999244,2.0921679899948537e6,3.3008559321968764e7,551.3966896547963,1780.2953379309688,2136.5509999999813,2136.5509999999813,195.14102758575856,0.0,0.0,1780.2953379309688,1.0414201155506083e6,5.077289867848939e7,1045.9231724133933,1879.2006344827184,2136.5509999999813,2136.5509999999813,788.5728068960689,0.0,0.0,1879.2006344827184,2.559121891136687e6,6.470329794670765e7,1540.449655171969,1978.1059310343696,2136.5509999999813,2136.5509999999813,1382.004586206428,182.00458620640046,0.0,1978.1059310343696,7.027300013714805e6,9.417336527051984e7,2034.9761379305753,2077.011227586088,2136.5509999999813,2136.5509999999813,1975.4363655166824,775.4363655167324,0.0,2077.011227586088,1.8165124363700837e7,1.3281081827374615e8,2529.502620689151,2175.9165241378364,2136.5509999999813,2136.5509999999813,2568.8681448270017,1368.868144827035,0.0,2175.9165241378364,2.9302948713686842e7,1.714482712769727e8,6.7125908860005075e6,710054.9999981225,2.2548797199976936e7,5.965662166400115e7,2.804503535003504e7,9.639267644990772e7
8,707.4489999986381,2136.5509999999244,2139.133,2139.133,704.8669999985627,0.0,-0.0,2139.1330000001053,1.9701808199960887e6,3.497874014196485e7,195.14102758575856,1780.2953379309688,2139.1329999999607,1975.4363655166824,0.0,0.0,163.69663448327918,1780.2953379309688,7.43444058202908e6,5.820733926051846e7,788.5728068960689,1879.2006344827184,2139.1329999999607,2139.1329999999607,528.6404413787565,0.0,0.0,1879.2006344827184,1.8375124813434414e6,6.65408104280511e7,1382.004586206428,1978.1059310343696,2139.1329999999607,2139.1329999999607,1220.9775172408142,20.977517240803113,0.0,1978.1059310343696,3.971226566299463e6,9.81445918368193e7,1975.4363655166824,2077.011227586088,2139.1329999999607,2139.1329999999607,1913.3145931028312,713.3145931028571,0.0,2077.011227586088,1.698835045606432e7,1.4979916872981045e8,2568.8681448270017,2175.9165241378364,2139.1329999999607,2139.1329999999607,2605.6516689648847,1405.651668964885,0.0,2175.9165241378364,3.0005474345829077e7,2.0145374562280178e8,6.345869739002403e6,708938.9999978796,2.174590234997166e7,6.60024914030035e7,3.2663323500122935e7,1.0660156679985781e8
9,704.8669999985627,2139.1330000001053,2138.34,2138.34,705.6599999986679,0.0,0.0,2138.340000000094,1.9676851649961323e6,3.6946425306960985e7,0.0,1780.2953379309688,2138.340000000033,1780.2953379309688,0.0,0.0,358.0446620690434,1780.2953379309688,1.5665528099506482e7,7.387286736002494e7,528.6404413787565,1879.2006344827184,2138.340000000033,2138.340000000033,269.5010758614463,0.0,0.0,1879.2006344827184,1.1134074165500714e6,6.765421784460117e7,1220.9775172408142,1978.1059310343696,2138.340000000033,2138.340000000033,1060.7434482752278,0.0,0.0,1978.1059310343696,3.183000746894836e6,1.0132759258371414e8,1913.3145931028312,2077.011227586088,2138.340000000033,2138.340000000033,1851.9858206889926,651.9858206889683,0.0,2077.011227586088,1.5821936216428652e7,1.656211049462391e8,2605.6516689648847,2175.9165241378364,2138.340000000033,2138.340000000033,2643.228193102723,1443.228193102706,0.0,2175.9165241378364,3.0718359645972993e7,2.3217210526877478e8,6.681686588001609e6,618194.249998083,2.2345719450050447e7,7.268417799100512e7,3.746534634985148e7,1.1507906155024794e8
10,705.6599999986679,2138.340000000094,2105.034,2105.034,738.9659999987616,0.0,-0.0,2105.0340000002166,2.0152532699964195e6,3.8961678576957405e7,0.0,1780.2953379309688,2105.033999999988,1780.2953379309688,0.0,0.0,324.738662069041,1780.2953379309688,1.4208290681506973e7,8.808115804153192e7,269.5010758614463,1879.2006344827184,2105.033999999988,2105.033999999988,43.66771034412314,0.0,0.0,1879.2006344827184,436870.4567567695,6.809108830135794e7,1060.7434482752278,1978.1059310343696,2105.033999999988,2105.033999999988,933.8153793095909,0.0,0.0,1978.1059310343696,2.7824095644807843e6,1.0411000214819492e8,1851.9858206889926,2077.011227586088,2105.033999999988,2105.033999999988,1823.9630482750936,623.9630482750922,0.0,2077.011227586088,1.524301364779241e7,1.808641185940315e8,2643.228193102723,2175.9165241378364,2105.033999999988,2105.033999999988,2714.1107172405773,1514.1107172405525,0.0,2175.9165241378364,3.2018736617115226e7,2.6419084188589e8,6.087663107999844e6,664019.999998369,2.0567723799980674e7,7.877184109900497e7,4.1577146200112104e7,1.2467083709982891e8
