dia,fila_in,adm_in,w_proc,proc,fila_out,spill,ocioso,adm_out,custo
1,1200.0,3000.0,2302.0,2302.0,1898.0,698.0,0.0,945.9999999980256,1.5636988e7
2,1898.0,945.9999999980256,1414.0,1414.0,1429.9999999980255,229.9999999980255,-0.0,1413.999999999892,8.3710899999652505e6
3,1429.9999999980255,1413.999999999892,2466.0,2466.0,377.99999999791726,0.0,0.0,2466.0000000006085,2.5221599999943376e6
4,377.99999999791726,2466.0000000006085,3288.0,2843.9999999985257,-0.0,0.0,444.0000000014743,2843.99999999731,1.99536420000616e7
5,-0.0,2843.99999999731,2105.0,2105.0,738.9999999973102,0.0,0.0,2105.000000000393,1.0309049999962449e6
6,738.9999999973102,2105.000000000393,1579.0,1579.0,1264.999999997703,64.99999999770307,0.0,1579.0000000009816,3.849294999955803e6
7,1264.999999997703,1579.0000000009816,2729.0,2729.0,114.99999999868487,0.0,0.0,2728.9999999997626,1.9250999999949634e6
8,114.99999999868487,2728.9999999997626,2992.0,2843.9999999984475,-0.0,0.0,148.0000000015525,2843.99999999869,6.635869000066102e6
9,-0.0,2843.99999999869,2630.0,2630.0,213.99999999868987,0.0,0.0,2630.0000000000437,298529.99999816716
10,213.99999999868987,2630.0000000000437,2236.0,2236.0,607.9999999987335,0.0,-0.0,2236.0000000002597,1.1466899999964088e6
11,607.9999999987335,2236.0000000002597,954.0,954.0,1889.9999999989932,689.9999999989932,-0.0,954.0000000000746,1.467029999998051e7
12,1889.9999999989932,954.0000000000746,1086.0,1086.0,1757.9999999990678,557.9999999990678,0.0,1086.0000000000944,1.4134697999982178e7
13,1757.9999999990678,1086.0000000000944,3452.0,2843.9999999991624,0.0,0.0,608.0000000008376,2843.9999999990155,2.9054234000035346e7
14,0.0,2843.9999999990155,1743.0,1743.0,1100.9999999990155,0.0,-0.0,1742.9999999997324,1.535894999998629e6
15,1100.9999999990155,1742.9999999997324,2630.0,2630.0,213.99999999874763,0.0,-0.0,2630.000000000421,1.8344249999968857e6
16,213.99999999874763,2630.000000000421,1809.0,1809.0,1034.9999999991687,0.0,0.0,1809.0000000001435,1.7423549999970943e6
17,1034.9999999991687,1809.0000000001435,1513.0,1513.0,1330.9999999993124,130.99999999931242,0.0,1513.0000000000591,5.424210999986738e6
18,1330.9999999993124,1513.0000000000591,3025.0,2843.9999999993715,-0.0,0.0,181.00000000062846,2843.9999999995994,9.776038000026539e6
19,-0.0,2843.9999999995994,2532.0,2532.0,311.99999999959937,0.0,-0.0,2531.999999999824,435239.99999943376
20,311.99999999959937,2531.999999999824,1086.0,1086.0,1757.9999999994234,557.9999999994234,0.0,1086.0000000000412,1.1933387999989294e7
21,1757.9999999994234,1086.0000000000412,1940.0,1940.0,903.9999999994643,0.0,-0.0,1940.000000000095,3.7134899999984503e6
22,903.9999999994643,1940.000000000095,2203.0,2203.0,640.9999999995593,0.0,-0.0,2203.0000000000673,2.1552749999986365e6
23,640.9999999995593,2203.0000000000673,1184.0,1184.0,1659.9999999996267,459.99999999962665,0.0,1184.0000000000264,1.066695499999281e7
24,1659.9999999996267,1184.0000000000264,2105.0,2105.0,738.999999999653,0.0,-0.0,2105.000000000062,3.346604999998994e6
25,738.999999999653,2105.000000000062,1743.0,1743.0,1100.9999999997149,0.0,-0.0,1743.000000000096,2.566799999999121e6
26,1100.9999999997149,1743.000000000096,2499.0,2499.0,344.9999999998108,0.0,0.0,2499.0000000000746,2.017169999999337e6
27,344.9999999998108,2499.0000000000746,3123.0,2843.9999999998854,-0.0,0.0,279.0000000001146,2843.9999999998677,1.268836200000475e7
28,-0.0,2843.9999999998677,1316.0,1316.0,1527.9999999998677,327.99999999986767,-0.0,1316.0000000000764,7.448767999997672e6
29,1527.9999999998677,1316.0000000000764,659.0,659.0,2184.999999999944,984.9999999999441,-0.0,708.0000000000321,2.114746999999883e7
30,2184.999999999944,708.0000000000321,889.0,889.0,2003.9999999999764,803.9999999999764,0.0,0.0,1.8877298999999505e7
