dia,SDDP_FilaIni,SDDP_AdmIn,SDDP_Wproc,SDDP_Proc,SDDP_FilaFim,SDDP_Spill,SDDP_Ocioso,SDDP_AdmOut,P_-10_FilaIni,P_-10_AdmIn,P_-10_Wproc,P_-10_Proc,P_-10_FilaFim,P_-10_Spill,P_-10_Ocioso,P_-10_AdmOut,P_-5_FilaIni,P_-5_AdmIn,P_-5_Wproc,P_-5_Proc,P_-5_FilaFim,P_-5_Spill,P_-5_Ocioso,P_-5_AdmOut,P_0_FilaIni,P_0_AdmIn,P_0_Wproc,P_0_Proc,P_0_FilaFim,P_0_Spill,P_0_Ocioso,P_0_AdmOut,P_+5_FilaIni,P_+5_AdmIn,P_+5_Wproc,P_+5_Proc,P_+5_FilaFim,P_+5_Spill,P_+5_Ocioso,P_+5_AdmOut,P_+10_FilaIni,P_+10_AdmIn,P_+10_Wproc,P_+10_Proc,P_+10_FilaFim,P_+10_Spill,P_+10_Ocioso,P_+10_AdmOut
1,1200.0,3000.0,2335.0,2335.0,1865.0,665.0,0.0,978.9999999979035,1200.0,3000.0,2138.203,2138.203,2061.797,861.797,0.0,1780.2953379309604,1200.0,3000.0,2138.203,2138.203,2061.797,861.797,0.0,1879.2006344826802,1200.0,3000.0,2138.203,2138.203,2061.797,861.797,0.0,1978.1059310344003,1200.0,3000.0,2138.203,2138.203,2061.797,861.797,0.0,2077.0112275861206,1200.0,3000.0,2138.203,2138.203,2061.797,861.797,0.0,2175.9165241378405
2,1865.0,978.9999999979035,2795.0,2795.0,48.999999997903615,0.0,0.0,2795.0000000000314,2061.797,1780.2953379309604,2071.028,2071.028,1771.0643379309608,571.0643379309608,0.0,1780.2953379309604,2061.797,1879.2006344826802,2071.028,2071.028,1869.9696344826802,669.9696344826802,0.0,1879.2006344826802,2061.797,1978.1059310344003,2071.028,2071.028,1968.8749310344006,768.8749310344006,0.0,1978.1059310344003,2061.797,2077.0112275861206,2071.028,2071.028,2067.780227586121,867.7802275861209,0.0,2077.0112275861206,2061.797,2175.9165241378405,2071.028,2071.028,2166.6855241378403,966.6855241378403,0.0,2175.9165241378405
3,48.999999997903615,2795.0000000000314,2532.0,2532.0,311.999999997935,0.0,-0.0,2532.000000000603,1771.0643379309608,1780.2953379309604,2112.462,2112.462,1438.8976758619215,238.89767586192147,0.0,1780.2953379309604,1869.9696344826802,1879.2006344826802,2112.462,2112.462,1636.7082689653603,436.7082689653603,0.0,1879.2006344826802,1968.8749310344006,1978.1059310344003,2112.462,2112.462,1834.518862068801,634.5188620688009,0.0,1978.1059310344003,2067.780227586121,2077.0112275861206,2112.462,2112.462,2032.3294551722415,832.3294551722415,0.0,2077.0112275861206,2166.6855241378403,2175.9165241378405,2112.462,2112.462,2230.1400482756812,1030.1400482756812,0.0,2175.9165241378405
4,311.999999997935,2532.000000000603,1119.0,1119.0,1724.999999998538,524.999999998538,0.0,1118.9999999988731,1438.8976758619215,1780.2953379309604,2078.115,2078.115,1141.0780137928823,0.0,0.0,1780.2953379309604,1636.7082689653603,1879.2006344826802,2078.115,2078.115,1437.7939034480405,237.7939034480405,0.0,1879.2006344826802,1834.518862068801,1978.1059310344003,2078.115,2078.115,1734.5097931032014,534.5097931032014,0.0,1978.1059310344003,2032.3294551722415,2077.0112275861206,2078.115,2078.115,2031.2256827583624,831.2256827583624,0.0,2077.0112275861206,2230.1400482756812,2175.9165241378405,2078.115,2078.115,2327.9415724135215,1127.9415724135215,0.0,2175.9165241378405
5,1724.999999998538,1118.9999999988731,3649.0,2843.999999997411,0.0,0.0,805.0000000025889,2843.999999997724,1141.0780137928823,1780.2953379309604,2098.585,2098.585,822.7883517238424,0.0,0.0,1780.2953379309604,1437.7939034480405,1879.2006344826802,2098.585,2098.585,1218.409537930721,18.409537930720944,0.0,1879.2006344826802,1734.5097931032014,1978.1059310344003,2098.585,2098.585,1614.0307241376017,414.03072413760174,0.0,1978.1059310344003,2031.2256827583624,2077.0112275861206,2098.585,2098.585,2009.6519103444834,809.6519103444834,0.0,2077.0112275861206,2327.9415724135215,2175.9165241378405,2098.585,2098.585,2405.273096551362,1205.273096551362,0.0,2175.9165241378405
6,0.0,2843.999999997724,2828.0,2828.0,15.99999999772399,0.0,0.0,2828.0000000009154,822.7883517238424,1780.2953379309604,2051.687,2051.687,551.3966896548027,0.0,0.0,1780.2953379309604,1218.409537930721,1879.2006344826802,2051.687,2051.687,1045.9231724134015,0.0,0.0,1879.2006344826802,1614.0307241376017,1978.1059310344003,2051.687,2051.687,1540.4496551720022,340.44965517200217,0.0,1978.1059310344003,2009.6519103444834,2077.0112275861206,2051.687,2051.687,2034.9761379306042,834.9761379306042,0.0,2077.0112275861206,2405.273096551362,2175.9165241378405,2051.687,2051.687,2529.5026206892026,1329.5026206892026,0.0,2175.9165241378405
7,15.99999999772399,2828.0000000009154,1546.0,1546.0,1297.9999999986394,97.9999999986394,-0.0,1545.9999999997399,551.3966896548027,1780.2953379309604,2136.551,2136.551,195.1410275857629,0.0,0.0,1780.2953379309604,1045.9231724134015,1879.2006344826802,2136.551,2136.551,788.572806896082,0.0,0.0,1879.2006344826802,1540.4496551720022,1978.1059310344003,2136.551,2136.551,1382.0045862064026,182.00458620640256,0.0,1978.1059310344003,2034.9761379306042,2077.0112275861206,2136.551,2136.551,1975.436365516725,775.4363655167249,0.0,2077.0112275861206,2529.5026206892026,2175.9165241378405,2136.551,2136.551,2568.868144827043,1368.8681448270431,0.0,2175.9165241378405
8,1297.9999999986394,1545.9999999997399,2368.0,2368.0,475.9999999983793,0.0,0.0,2368.0000000002797,195.1410275857629,1780.2953379309604,2139.133,1975.4363655167233,0.0,0.0,163.6966344832765,1780.2953379309604,788.572806896082,1879.2006344826802,2139.133,2139.133,528.6404413787623,0.0,0.0,1879.2006344826802,1382.0045862064026,1978.1059310344003,2139.133,2139.133,1220.977517240803,20.97751724080308,0.0,1978.1059310344003,1975.436365516725,2077.0112275861206,2139.133,2139.133,1913.3145931028457,713.3145931028457,0.0,2077.0112275861206,2568.868144827043,2175.9165241378405,2139.133,2139.133,2605.6516689648834,1405.6516689648834,0.0,2175.9165241378405
9,475.9999999983793,2368.0000000002797,1973.0,1973.0,870.999999998659,0.0,-0.0,1973.0000000000828,0.0,1780.2953379309604,2138.34,1780.2953379309604,0.0,0.0,358.04466206903976,1780.2953379309604,528.6404413787623,1879.2006344826802,2138.34,2138.34,269.5010758614426,0.0,0.0,1879.2006344826802,1220.977517240803,1978.1059310344003,2138.34,2138.34,1060.7434482752033,0.0,0.0,1978.1059310344003,1913.3145931028457,2077.0112275861206,2138.34,2138.34,1851.9858206889662,651.9858206889662,0.0,2077.0112275861206,2605.6516689648834,2175.9165241378405,2138.34,2138.34,2643.2281931027237,1443.2281931027237,0.0,2175.9165241378405
10,870.999999998659,1973.0000000000828,1546.0,1546.0,1297.9999999987417,97.99999999874171,-0.0,1546.0000000002713,0.0,1780.2953379309604,2105.034,1780.2953379309604,0.0,0.0,324.7386620690397,1780.2953379309604,269.5010758614426,1879.2006344826802,2105.034,2105.034,43.66771034412295,0.0,0.0,1879.2006344826802,1060.7434482752033,1978.1059310344003,2105.034,2105.034,933.8153793096035,0.0,0.0,1978.1059310344003,1851.9858206889662,2077.0112275861206,2105.034,2105.034,1823.9630482750867,623.9630482750867,0.0,2077.0112275861206,2643.2281931027237,2175.9165241378405,2105.034,2105.034,2714.110717240564,1514.110717240564,0.0,2175.9165241378405
