dia,fila_in,adm_in,w_proc,proc,fila_out,spill,ocioso,adm_out,custo
1,1200.0,3000.0,2138.203,2138.203,2061.797,861.797,0.0,782.2029999979309,1.8520797981999993e7
2,2061.797,782.2029999979309,2071.028,2071.028,772.9719999979311,0.0,0.0,2071.0280000000134,3.9545027549971044e6
3,772.9719999979311,2071.0280000000134,2112.462,2112.462,731.5379999979446,0.0,0.0,2112.4620000005925,2.098791449994236e6
4,731.5379999979446,2112.4620000005925,2078.115,2078.115,765.8849999985373,0.0,-0.0,2078.1149999988756,2.088905084995091e6
5,765.8849999985373,2078.1149999988756,2098.585,2098.585,745.4149999974129,0.0,-0.0,2098.5850000002615,2.1082634999943376e6
6,745.4149999974129,2098.5850000002615,2051.687,2051.687,792.3129999976745,0.0,-0.0,2051.6870000009635,2.145130559993148e6
7,792.3129999976745,2051.6870000009635,2136.551,2136.551,707.4489999986381,0.0,-0.0,2136.5509999999244,2.0921679899948537e6
8,707.4489999986381,2136.5509999999244,2139.133,2139.133,704.8669999985627,0.0,-0.0,2139.1330000001053,1.9701808199960887e6
9,704.8669999985627,2139.1330000001053,2138.34,2138.34,705.6599999986679,0.0,0.0,2138.340000000094,1.9676851649961323e6
10,705.6599999986679,2138.340000000094,2105.034,2105.034,738.9659999987616,0.0,-0.0,2105.0340000002166,2.0152532699964195e6
11,738.9659999987616,2105.0340000002166,2081.97,2081.97,762.0299999989784,0.0,0.0,2081.9700000001117,2.0938894199968427e6
12,762.0299999989784,2081.9700000001117,2092.561,2092.561,751.4389999990899,0.0,0.0,2092.5610000000997,2.111289254997298e6
13,751.4389999990899,2092.5610000000997,2062.657,2062.657,781.3429999991895,0.0,0.0,2062.6569999999006,2.1382308899976015e6
14,781.3429999991895,2062.6569999999006,2133.299,2133.299,710.7009999990901,0.0,-0.0,2133.2989999996557,2.0814013799975961e6
15,710.7009999990901,2133.2989999996557,2074.289,2074.289,769.7109999987456,0.0,-0.0,2074.2890000004386,2.0651747399969846e6
16,769.7109999987456,2074.2890000004386,2148.221,2148.221,695.7789999991842,0.0,0.0,2148.221000000145,2.0443585499971062e6
17,695.7789999991842,2148.221000000145,2106.461,2106.461,737.5389999993295,0.0,-0.0,2106.461000000041,1.9994786099979281e6
18,737.5389999993295,2106.461000000041,2064.052,2064.052,779.9479999993705,0.0,-0.0,2064.0520000001943,2.1168943649981916e6
19,779.9479999993705,2064.0520000001943,2075.884,2075.884,768.1159999995648,0.0,-0.0,2075.8839999999423,2.159549279998511e6
20,768.1159999995648,2075.8839999999423,2100.938,2100.938,743.061999999507,0.0,0.0,2100.9379999999237,2.108093309998706e6
21,743.061999999507,2100.9379999999237,2096.995,2096.995,747.0049999994308,0.0,-0.0,2096.9950000001354,2.078643464998521e6
22,747.0049999994308,2096.9950000001354,2110.953,2110.953,733.0469999995662,0.0,-0.0,2110.953000000085,2.0646725399985984e6
23,733.0469999995662,2110.953000000085,2113.275,2113.275,730.7249999996511,0.0,0.0,2113.2749999999937,2.0419619399989098e6
24,730.7249999996511,2113.2749999999937,2110.661,2110.661,733.3389999996448,0.0,-0.0,2110.6610000000587,2.0423692799990177e6
25,733.3389999996448,2110.6610000000587,2093.086,2093.086,750.9139999997037,0.0,-0.0,2093.0860000000966,2.0705329349990897e6
26,750.9139999997037,2093.0860000000966,2097.947,2097.947,746.0529999998002,0.0,0.0,2097.947000000097,2.088268964999307e6
27,746.0529999998002,2097.947000000097,2113.434,2113.434,730.565999999897,0.0,0.0,2113.4339999999784,2.059883504999578e6
28,730.565999999897,2113.4339999999784,2097.783,2097.783,746.2169999998755,0.0,0.0,2097.7830000000736,2.0601122849996835e6
29,746.2169999998755,2097.7830000000736,2124.375,2124.375,719.6249999999491,0.0,-0.0,2173.3750000000305,2.0448495899997558e6
30,719.6249999999491,2173.3750000000305,2101.722,2101.722,791.2779999999793,0.0,0.0,0.0,2.1077096849999e6
