dia,SDDP_fila_in,SDDP_adm_in,SDDP_w_proc,SDDP_proc,SDDP_fila_out,SDDP_spill,SDDP_ocioso,SDDP_adm_out,SDDP_custo,SDDP_custo_acum,P_-10_fila_in,P_-10_adm_in,P_-10_w_proc,P_-10_proc,P_-10_fila_out,P_-10_spill,P_-10_ocioso,P_-10_adm_out,P_-10_custo,P_-10_custo_acum,P_-5_fila_in,P_-5_adm_in,P_-5_w_proc,P_-5_proc,P_-5_fila_out,P_-5_spill,P_-5_ocioso,P_-5_adm_out,P_-5_custo,P_-5_custo_acum,P_0_fila_in,P_0_adm_in,P_0_w_proc,P_0_proc,P_0_fila_out,P_0_spill,P_0_ocioso,P_0_adm_out,P_0_custo,P_0_custo_acum,P_+5_fila_in,P_+5_adm_in,P_+5_w_proc,P_+5_proc,P_+5_fila_out,P_+5_spill,P_+5_ocioso,P_+5_adm_out,P_+5_custo,P_+5_custo_acum,P_+10_fila_in,P_+10_adm_in,P_+10_w_proc,P_+10_proc,P_+10_fila_out,P_+10_spill,P_+10_ocioso,P_+10_adm_out,P_+10_custo,P_+10_custo_acum,SDDP_estoc_custo_mean,SDDP_estoc_custo_p5,SDDP_estoc_custo_p95,SDDP_estoc_custo_acum_mean,SDDP_estoc_custo_acum_p5,SDDP_estoc_custo_acum_p95
1,1200.0,3000.0,2476.482,2476.482,1723.518,523.518,0.0,1133.4819999997226,1.2565057908e7,1.2565057908e7,1200.0,3000.0,2476.4820000000013,2476.4820000000013,1723.5179999999802,523.517999999993,0.0,2152.878424137887,1.2565057908000296e7,1.2565057908000296e7,1200.0,3000.0,2476.4820000000013,2476.4820000000013,1723.5179999999802,523.517999999993,0.0,2272.482781034469,1.2565057908000296e7,1.2565057908000296e7,1200.0,3000.0,2476.4820000000013,2476.4820000000013,1723.5179999999802,523.517999999993,0.0,2392.0871379310274,1.2565057908000296e7,1.2565057908000296e7,1200.0,3000.0,2476.4820000000013,2476.4820000000013,1723.5179999999802,523.517999999993,0.0,2511.6914948276153,1.2565057908000296e7,1.2565057908000296e7,1200.0,3000.0,2476.4820000000013,2476.4820000000013,1723.5179999999802,523.517999999993,0.0,2631.295851724185,1.2565057908000296e7,1.2565057908000296e7,1.257400638e7,5.671992e6,1.928143e7,1.257400638e7,5.671992e6,1.928143e7
2,1723.518,1133.4819999997226,2496.822,2496.822,360.1779999997225,0.0,-0.0,2496.8219999999747,2.9067559199996144e6,1.5471813827999614e7,1723.5179999999802,2152.878424137887,2496.8220000000024,2496.8220000000024,1379.5744241379152,179.57442413794078,0.0,2152.878424137887,7.23989492137243e6,1.9804952829372726e7,1723.5179999999802,2272.482781034469,2496.8220000000024,2496.8220000000024,1499.1787810344863,299.17878103448464,0.0,2272.482781034469,9.345649228893269e6,2.1910707136893563e7,1723.5179999999802,2392.0871379310274,2496.8220000000024,2496.8220000000024,1618.7831379310264,418.7831379310368,0.0,2392.0871379310274,1.1451403536413863e7,2.401646144441416e7,1723.5179999999802,2511.6914948276153,2496.8220000000024,2496.8220000000024,1738.3874948276164,538.3874948276065,0.0,2511.6914948276153,1.3557157843934864e7,2.612221575193516e7,1723.5179999999802,2631.295851724185,2496.8220000000024,2496.8220000000024,1857.9918517241663,657.9918517241398,0.0,2631.295851724185,1.566291215145505e7,2.8227970059455346e7,3.1470335760003487e6,2.2222349999995753e6,3.963839900012301e6,1.572103995600039e7,8.003912399999576e6,2.310164110001326e7
3,360.1779999997225,2496.8219999999747,2488.941,2488.941,368.05899999969733,0.0,0.0,2488.941000000292,1.01589061499919e6,1.6487704442998804e7,1379.5744241379152,2152.878424137887,2488.94100000006,2488.94100000006,1043.5118482758917,0.0,0.0,2152.878424137887,3.3802053500172147e6,2.318515817938994e7,1499.1787810344863,2272.482781034469,2488.94100000006,2488.94100000006,1282.720562068978,82.72056206897823,0.0,2272.482781034469,5.221732615329646e6,2.713243975222321e7,1618.7831379310264,2392.0871379310274,2488.94100000006,2488.94100000006,1521.9292758620986,321.9292758620802,0.0,2392.0871379310274,9.60008930824169e6,3.361655075265585e7,1738.3874948276164,2511.6914948276153,2488.94100000006,2488.94100000006,1761.1379896551537,561.1379896551888,0.0,2511.6914948276153,1.3978446001153836e7,4.0100661753088996e7,1857.9918517241663,2631.295851724185,2488.94100000006,2488.94100000006,2000.3467034483206,800.3467034483019,0.0,2631.295851724185,1.8356802694065455e7,4.65847727535208e7,1.2003401129998094e6,348749.9999995705,1.982294999999166e6,1.6921380069000192e7,8.967250649998758e6,2.432998355001116e7
4,368.05899999969733,2488.941000000292,2481.682,2481.682,375.31799999998975,0.0,-0.0,2481.681999999965,1.037010914999567e6,1.752471535799837e7,1043.5118482758917,2152.878424137887,2481.6820000000207,2481.6820000000207,714.7082724138156,0.0,0.0,2152.878424137887,2.4527170683620786e6,2.563787524775202e7,1282.720562068978,2272.482781034469,2481.6820000000207,2481.6820000000207,1073.5213431034838,0.0,0.0,2272.482781034469,3.2869574577155206e6,3.0419397209938735e7,1521.9292758620986,2392.0871379310274,2481.6820000000207,2481.6820000000207,1432.3344137931506,232.33441379311924,0.0,2392.0871379310274,7.887571029069191e6,4.150412178172504e7,1761.1379896551537,2511.6914948276153,2481.6820000000207,2481.6820000000207,1791.1474844827478,591.1474844827802,0.0,2511.6914948276153,1.4538530107372707e7,5.4639191860461704e7,2000.3467034483206,2631.295851724185,2481.6820000000207,2481.6820000000207,2149.9605551724717,949.9605551724169,0.0,2631.295851724185,2.1189489185676493e7,6.777426193919729e7,1.2755346859996014e6,442842.74999956903,1.9830622499995837e6,1.819691475499981e7,1.0149344549999092e7,2.6131462549998365e7
5,375.31799999998975,2481.681999999965,2476.613,2476.613,380.3869999999547,0.0,-0.0,2476.612999999949,1.0542084749999233e6,1.8578923832998294e7,714.7082724138156,2152.878424137887,2476.612999999944,2476.612999999944,390.97369655175044,0.0,0.0,2152.878424137887,1.5424263467069347e6,2.7180301594458953e7,1073.5213431034838,2272.482781034469,2476.612999999944,2476.612999999944,869.391124137943,0.0,0.0,2272.482781034469,2.7103628918018225e6,3.3129760101740554e7,1432.3344137931506,2392.0871379310274,2476.612999999944,2476.612999999944,1347.808551724154,147.80855172415937,0.0,2392.0871379310274,6.274423868897127e6,4.777854565062217e7,1791.1474844827478,2511.6914948276153,2476.612999999944,2476.612999999944,1826.2259793103979,626.225979310356,0.0,2511.6914948276153,1.5197985332591984e7,6.983717719305368e7,2149.9605551724717,2631.295851724185,2476.612999999944,2476.612999999944,2304.6434068965873,1104.643406896597,0.0,2631.295851724185,2.4121546796287213e7,9.18958087354845e7,1.300919605000093e6,427497.74999989034,2.10868199999992e6,1.9497834359999903e7,1.1300017549998233e7,2.7543043449998915e7
6,380.3869999999547,2476.612999999949,2480.142,2480.142,376.85799999990377,0.0,0.0,2480.141999999955,1.056356774999801e6,1.9635280607998095e7,390.97369655175044,2152.878424137887,2480.141999999993,2480.141999999993,63.71012068968412,0.0,0.0,2152.878424137887,634283.9250518053,2.781458551951076e7,869.391124137943,2272.482781034469,2480.141999999993,2480.141999999993,661.7319051724534,0.0,0.0,2272.482781034469,2.1359166258880524e6,3.526567672762861e7,1347.808551724154,2392.0871379310274,2480.141999999993,2480.141999999993,1259.7536896551953,59.75368965520462,0.0,2392.0871379310274,4.606216389724732e6,5.23847620403469e7,1826.2259793103979,2511.6914948276153,2480.141999999993,2480.141999999993,1857.7754741379242,657.7754741379729,0.0,2511.6914948276153,1.5802380238811098e7,8.563955743186477e7,2304.6434068965873,2631.295851724185,2480.141999999993,2480.141999999993,2455.7972586206656,1255.7972586207127,0.0,2631.295851724185,2.6998544087897338e7,1.1889435282338184e8,1.2973078540000715e6,412850.2499996577,2.0625772499997164e6,2.0795142213999953e7,1.2323955699997917e7,2.920461935001073e7
7,376.85799999990377,2480.141999999955,2478.394,2478.394,378.6059999998588,0.0,-0.0,2478.3939999999975,1.0538722799996696e6,2.0689152887997765e7,63.71012068968412,2152.878424137887,2478.3940000000057,2216.5885448276304,0.0,0.0,261.8054551723767,2152.878424137887,1.154364969851893e7,3.935823521802969e7,661.7319051724534,2272.482781034469,2478.3940000000057,2478.3940000000057,455.8206862069242,0.0,0.0,2272.482781034469,1.558985864974255e6,3.6824662592602864e7,1259.7536896551953,2392.0871379310274,2478.3940000000057,2478.3940000000057,1173.446827586255,0.0,0.0,2392.0871379310274,3.3943147215518663e6,5.577907676189876e7,1857.7754741379242,2511.6914948276153,2478.3940000000057,2478.3940000000057,1891.0729689655777,691.0729689655485,0.0,2511.6914948276153,1.6432627478029724e7,1.020721849098945e8,2455.7972586206656,2631.295851724185,2478.3940000000057,2478.3940000000057,2608.6991103449373,1408.699110344897,0.0,2631.295851724185,2.990139371250813e7,1.4879574653588998e8,1.3202832830000177e6,411524.99999961985,2.1728519999996107e6,2.211542549699997e7,1.3415005699997997e7,3.0931582699997574e7
8,378.6059999998588,2478.3939999999975,2492.401,2492.401,364.59899999985646,0.0,-0.0,2492.4010000001044,1.0367709749996029e6,2.1725923862997368e7,0.0,2152.878424137887,2492.401000000033,2152.878424137887,0.0,0.0,339.52257586206514,2152.878424137887,1.4855131261692572e7,5.421336647972227e7,455.8206862069242,2272.482781034469,2492.401000000033,2492.401000000033,235.9024672414233,0.0,0.0,2272.482781034469,964953.7990604623,3.778961639166333e7,1173.446827586255,2392.0871379310274,2492.401000000033,2492.401000000033,1073.1329655172588,0.0,0.0,2392.0871379310274,3.133978811379432e6,5.8913055573278196e7,1891.0729689655777,2511.6914948276153,2492.401000000033,2492.401000000033,1910.3634637931705,710.3634637931499,0.0,2511.6914948276153,1.68187059352493e7,1.188908908451438e8,2608.6991103449373,2631.295851724185,2492.401000000033,2492.401000000033,2747.5939620690015,1547.593962068981,0.0,2631.295851724185,3.25600745551185e7,1.8135582109100848e8,1.3240200500000347e6,412919.9999996014,2.0618099999995804e6,2.343944554700002e7,1.4540872049997307e7,3.241070055000998e7
9,364.59899999985646,2492.4010000001044,2483.281,2483.281,373.71899999996094,0.0,0.0,2483.2809999998826,1.0299536099997461e6,2.2755877472997114e7,0.0,2152.878424137887,2483.2809999999695,2152.878424137887,0.0,0.0,330.4025758620686,2152.878424137887,1.445610390169292e7,6.866947038141519e7,235.9024672414233,2272.482781034469,2483.2809999999695,2483.2809999999695,25.104248275910933,0.0,0.0,2272.482781034469,364104.3681466755,3.815372075981001e7,1073.1329655172588,2392.0871379310274,2483.2809999999695,2483.2809999999695,981.9391034483057,0.0,0.0,2392.0871379310274,2.8668255362070547e6,6.177988110948525e7,1910.3634637931705,2511.6914948276153,2483.2809999999695,2483.2809999999695,1938.773958620786,738.7739586207337,0.0,2511.6914948276153,1.734581134746789e7,1.362367021926117e8,2747.5939620690015,2631.295851724185,2483.2809999999695,2483.2809999999695,2895.6088137931015,1695.6088137931652,0.0,2631.295851724185,3.535978235272909e7,2.1671560344373757e8,1.2762407569998784e6,380834.9999999272,2.0779919999997192e6,2.471568630399988e7,1.5659839049996896e7,3.398190905000145e7
10,373.71899999996094,2483.2809999998826,2480.924,2480.924,376.0759999998436,0.0,-0.0,2480.924000000044,1.0459640249997266e6,2.380184149799684e7,0.0,2152.878424137887,2480.924000000066,2152.878424137887,0.0,0.0,328.0455758620574,2152.878424137887,1.4352978080692725e7,8.302244846210791e7,25.104248275910933,2272.482781034469,2480.924000000066,2297.587029310408,0.0,0.0,183.33697068959984,2272.482781034469,8.056562904927063e6,4.621028366473707e7,981.9391034483057,2392.0871379310274,2480.924000000066,2480.924000000066,893.102241379353,0.0,0.0,2392.0871379310274,2.615682676034634e6,6.439556378551989e7,1938.773958620786,2511.6914948276153,2480.924000000066,2480.924000000066,1969.5414534483534,769.5414534483477,0.0,2511.6914948276153,1.7927136501687553e7,1.5416383869429922e8,2895.6088137931015,2631.295851724185,2480.924000000066,2480.924000000066,3045.9806655173525,1845.980665517285,0.0,2631.295851724185,3.821370989233887e7,2.5492931333607644e8,1.2314613130000858e6,443609.99999979476,1.9822949999997208e6,2.5947147616999947e7,1.6906763599996615e7,3.5477933249999925e7
11,376.0759999998436,2480.924000000044,2489.045,2489.045,367.9549999998876,0.0,0.0,2489.044999999956,1.0379232449996248e6,2.4839764742996465e7,0.0,2152.878424137887,2489.0449999999646,2152.878424137887,0.0,0.0,336.16657586205895,2152.878424137887,1.470829619369305e7,9.773074465580097e7,0.0,2272.482781034469,2489.0449999999646,2272.482781034469,0.0,0.0,216.5622189655057,2272.482781034469,9.475246766398134e6,5.56855304311352e7,893.102241379353,2392.0871379310274,2489.0449999999646,2489.0449999999646,796.1443793104186,0.0,0.0,2392.0871379310274,2.3564990358622316e6,6.675206282138212e7,1969.5414534483534,2511.6914948276153,2489.0449999999646,2489.0449999999646,1992.1879482758834,792.1879482759371,0.0,2511.6914948276153,1.836877134490619e7,1.725326100392054e8,3045.9806655173525,2631.295851724185,2489.0449999999646,2489.0449999999646,3188.2315172413746,1988.2315172413976,0.0,2631.295851724185,4.0927947120948985e7,2.958572604570254e8,1.3383346509999726e6,458954.9999996383,2.5908457500044974e6,2.7285482267999932e7,1.8026581799996812e7,3.73133963000165e7
