dia,fila_in,adm_in,w_proc,proc,fila_out,spill,ocioso,adm_out,custo
1,1200.0,3000.0,2334.0,2334.0,1866.0,666.0,0.0,990.9999999997647,1.5073596e7
2,1866.0,990.9999999997647,2448.0,2448.0,408.99999999976444,0.0,0.0,2448.0000000001187,3.173624999999672e6
3,408.99999999976444,2448.0000000001187,2425.0,2425.0,431.99999999988313,0.0,-0.0,2425.00000000005,1.1731949999995083e6
4,431.99999999988313,2425.00000000005,2004.0,2004.0,852.9999999999332,0.0,0.0,2003.999999999847,1.7925749999997467e6
5,852.9999999999332,2003.999999999847,2766.0,2766.0,90.9999999997799,0.0,0.0,2766.0000000001187,1.3168799999996014e6
6,90.9999999997799,2766.0000000001187,2414.0,2414.0,442.9999999998986,0.0,0.0,2414.0000000000364,744929.999999553
7,442.9999999998986,2414.0000000000364,2255.0,2255.0,601.999999999935,0.0,0.0,2254.9999999998895,1.457774999999769e6
8,601.999999999935,2254.9999999998895,2664.0,2664.0,192.99999999982447,0.0,0.0,2664.0000000000928,1.1090249999996647e6
9,192.99999999982447,2664.0000000000928,2220.0,2220.0,636.9999999999172,0.0,0.0,2219.9999999999386,1.1578499999996386e6
10,636.9999999999172,2219.9999999999386,2596.0,2596.0,260.99999999985585,0.0,-0.0,2595.9999999999773,1.2527099999996834e6
11,260.99999999985585,2595.9999999999773,2573.0,2573.0,283.9999999998331,0.0,0.0,2573.0000000000514,760274.9999995679
12,283.9999999998331,2573.0000000000514,2380.0,2380.0,476.9999999998845,0.0,0.0,2379.9999999999986,1.0615949999996051e6
13,476.9999999998845,2379.9999999999986,2948.0,2856.999999999883,-0.0,0.0,91.00000000011687,2856.999999999864,4.646938000004951e6
14,-0.0,2856.999999999864,2073.0,2073.0,783.999999999864,0.0,-0.0,2072.999999999968,1.09367999999981e6
15,783.999999999864,2072.999999999968,2232.0,2232.0,624.9999999998322,0.0,-0.0,2232.0000000001005,1.9655549999995753e6
16,624.9999999998322,2232.0000000001005,2345.0,2345.0,511.9999999999327,0.0,-0.0,2345.0000000000514,1.5861149999996722e6
17,511.9999999999327,2345.0000000000514,2493.0,2493.0,363.9999999999841,0.0,-0.0,2492.9999999999422,1.2220199999998845e6
18,363.9999999999841,2492.9999999999422,2255.0,2255.0,601.9999999999263,0.0,-0.0,2255.0000000000327,1.3475699999998733e6
19,601.9999999999263,2255.0000000000327,2391.0,2391.0,465.9999999999591,0.0,0.0,2390.9999999999786,1.4898599999998398e6
20,465.9999999999591,2390.9999999999786,2618.0,2618.0,238.9999999999377,0.0,-0.0,2618.0000000000146,983474.9999998566
21,238.9999999999377,2618.0000000000146,2220.0,2220.0,636.9999999999523,0.0,-0.0,2220.0000000000086,1.2220199999998473e6
22,636.9999999999523,2220.0000000000086,2380.0,2380.0,476.9999999999609,0.0,-0.0,2379.9999999999836,1.554029999999879e6
23,476.9999999999609,2379.9999999999836,2766.0,2766.0,90.99999999994452,0.0,-0.0,2766.000000000019,792359.9999998678
24,90.99999999994452,2766.000000000019,2561.0,2561.0,295.9999999999636,0.0,0.0,2561.0000000000296,539864.9999998715
25,295.9999999999636,2561.0000000000296,2368.0,2368.0,488.9999999999932,0.0,0.0,2367.999999999977,1.0950749999999395e6
26,488.9999999999932,2367.999999999977,2812.0,2812.0,44.99999999996999,0.0,-0.0,2812.000000000017,744929.9999999488
27,44.99999999996999,2812.000000000017,2448.0,2448.0,408.9999999999868,0.0,-0.0,2448.0000000000027,633329.9999999395
28,408.9999999999868,2448.0000000000027,2414.0,2414.0,442.99999999998954,0.0,0.0,2414.0000000000005,1.188539999999967e6
29,442.99999999998954,2414.0000000000005,2596.0,2596.0,260.99999999999,0.0,0.0,2664.0000000000036,982079.9999999716
30,260.99999999999,2664.0000000000036,2232.0,2232.0,692.9999999999936,0.0,0.0,0.0,1.3308299999999772e6
