dia,SDDP_FilaIni,SDDP_AdmIn,SDDP_Wproc,SDDP_Proc,SDDP_FilaFim,SDDP_Spill,SDDP_Ocioso,SDDP_AdmOut,P_-10_FilaIni,P_-10_AdmIn,P_-10_Wproc,P_-10_Proc,P_-10_FilaFim,P_-10_Spill,P_-10_Ocioso,P_-10_AdmOut,P_-5_FilaIni,P_-5_AdmIn,P_-5_Wproc,P_-5_Proc,P_-5_FilaFim,P_-5_Spill,P_-5_Ocioso,P_-5_AdmOut,P_0_FilaIni,P_0_AdmIn,P_0_Wproc,P_0_Proc,P_0_FilaFim,P_0_Spill,P_0_Ocioso,P_0_AdmOut,P_+5_FilaIni,P_+5_AdmIn,P_+5_Wproc,P_+5_Proc,P_+5_FilaFim,P_+5_Spill,P_+5_Ocioso,P_+5_AdmOut,P_+10_FilaIni,P_+10_AdmIn,P_+10_Wproc,P_+10_Proc,P_+10_FilaFim,P_+10_Spill,P_+10_Ocioso,P_+10_AdmOut
1,1200.0,3000.0,2459.0,2459.0,1741.0,541.0,0.0,1115.9999999996971,1200.0,3000.0,2476.482,2476.482,1723.518,523.518,0.0,2152.8784241379367,1200.0,3000.0,2476.482,2476.482,1723.518,523.518,0.0,2272.4827810344887,1200.0,3000.0,2476.482,2476.482,1723.518,523.518,0.0,2392.0871379310406,1200.0,3000.0,2476.482,2476.482,1723.518,523.518,0.0,2511.6914948275926,1200.0,3000.0,2476.482,2476.482,1723.518,523.518,0.0,2631.295851724145
2,1741.0,1115.9999999996971,2902.0,2856.999999999697,-0.0,0.0,45.00000000030286,2856.999999999708,1723.518,2152.8784241379367,2496.822,2496.822,1379.5744241379366,179.5744241379366,0.0,2152.8784241379367,1723.518,2272.4827810344887,2496.822,2496.822,1499.1787810344886,299.17878103448857,0.0,2272.4827810344887,1723.518,2392.0871379310406,2496.822,2496.822,1618.783137931041,418.783137931041,0.0,2392.0871379310406,1723.518,2511.6914948275926,2496.822,2496.822,1738.3874948275925,538.3874948275925,0.0,2511.6914948275926,1723.518,2631.295851724145,2496.822,2496.822,1857.991851724145,657.9918517241449,0.0,2631.295851724145
3,-0.0,2856.999999999708,2721.0,2721.0,135.99999999970805,0.0,0.0,2721.0000000002874,1379.5744241379366,2152.8784241379367,2488.941,2488.941,1043.5118482758735,0.0,0.0,2152.8784241379367,1499.1787810344886,2272.4827810344887,2488.941,2488.941,1282.7205620689774,82.72056206897742,0.0,2272.4827810344887,1618.783137931041,2392.0871379310406,2488.941,2488.941,1521.9292758620818,321.9292758620818,0.0,2392.0871379310406,1738.3874948275925,2511.6914948275926,2488.941,2488.941,1761.1379896551853,561.1379896551853,0.0,2511.6914948275926,1857.991851724145,2631.295851724145,2488.941,2488.941,2000.34670344829,800.3467034482901,0.0,2631.295851724145
4,135.99999999970805,2721.0000000002874,2493.0,2493.0,363.99999999999545,0.0,-0.0,2492.9999999999495,1043.5118482758735,2152.8784241379367,2481.682,2481.682,714.7082724138104,0.0,0.0,2152.8784241379367,1282.7205620689774,2272.4827810344887,2481.682,2481.682,1073.5213431034663,0.0,0.0,2272.4827810344887,1521.9292758620818,2392.0871379310406,2481.682,2481.682,1432.3344137931226,232.33441379312262,0.0,2392.0871379310406,1761.1379896551853,2511.6914948275926,2481.682,2481.682,1791.147484482778,591.147484482778,0.0,2511.6914948275926,2000.34670344829,2631.295851724145,2481.682,2481.682,2149.9605551724353,949.9605551724353,0.0,2631.295851724145
5,363.99999999999545,2492.9999999999495,2459.0,2459.0,397.999999999945,0.0,0.0,2458.9999999999263,714.7082724138104,2152.8784241379367,2476.613,2476.613,390.97369655174725,0.0,0.0,2152.8784241379367,1073.5213431034663,2272.4827810344887,2476.613,2476.613,869.3911241379551,0.0,0.0,2272.4827810344887,1432.3344137931226,2392.0871379310406,2476.613,2476.613,1347.8085517241634,147.8085517241634,0.0,2392.0871379310406,1791.147484482778,2511.6914948275926,2476.613,2476.613,1826.2259793103708,626.2259793103708,0.0,2511.6914948275926,2149.9605551724353,2631.295851724145,2476.613,2476.613,2304.6434068965805,1104.6434068965805,0.0,2631.295851724145
6,397.999999999945,2458.9999999999263,2277.0,2277.0,579.9999999998713,0.0,0.0,2276.99999999999,390.97369655174725,2152.8784241379367,2480.142,2480.142,63.71012068968412,0.0,0.0,2152.8784241379367,869.3911241379551,2272.4827810344887,2480.142,2480.142,661.7319051724439,0.0,0.0,2272.4827810344887,1347.8085517241634,2392.0871379310406,2480.142,2480.142,1259.7536896552042,59.7536896552042,0.0,2392.0871379310406,1826.2259793103708,2511.6914948275926,2480.142,2480.142,1857.775474137963,657.7754741379631,0.0,2511.6914948275926,2304.6434068965805,2631.295851724145,2480.142,2480.142,2455.797258620725,1255.7972586207252,0.0,2631.295851724145
7,579.9999999998713,2276.99999999999,2357.0,2357.0,499.9999999998613,0.0,0.0,2356.9999999999886,63.71012068968412,2152.8784241379367,2478.394,2216.588544827621,0.0,0.0,261.80545517237897,2152.8784241379367,661.7319051724439,2272.4827810344887,2478.394,2478.394,455.8206862069328,0.0,0.0,2272.4827810344887,1259.7536896552042,2392.0871379310406,2478.394,2478.394,1173.446827586245,0.0,0.0,2392.0871379310406,1857.775474137963,2511.6914948275926,2478.394,2478.394,1891.072968965556,691.0729689655559,0.0,2511.6914948275926,2455.797258620725,2631.295851724145,2478.394,2478.394,2608.6991103448704,1408.6991103448704,0.0,2631.295851724145
8,499.9999999998613,2356.9999999999886,2073.0,2073.0,783.9999999998499,0.0,0.0,2073.0000000001005,0.0,2152.8784241379367,2492.401,2152.8784241379367,0.0,0.0,339.52257586206315,2152.8784241379367,455.8206862069328,2272.4827810344887,2492.401,2492.401,235.90246724142162,0.0,0.0,2272.4827810344887,1173.446827586245,2392.0871379310406,2492.401,2492.401,1073.1329655172858,0.0,0.0,2392.0871379310406,1891.072968965556,2511.6914948275926,2492.401,2492.401,1910.3634637931482,710.3634637931482,0.0,2511.6914948275926,2608.6991103448704,2631.295851724145,2492.401,2492.401,2747.593962069015,1547.593962069015,0.0,2631.295851724145
9,783.9999999998499,2073.0000000001005,2823.0,2823.0,33.99999999995043,0.0,-0.0,2822.9999999998868,0.0,2152.8784241379367,2483.281,2152.8784241379367,0.0,0.0,330.40257586206326,2152.8784241379367,235.90246724142162,2272.4827810344887,2483.281,2483.281,25.104248275910322,0.0,0.0,2272.4827810344887,1073.1329655172858,2392.0871379310406,2483.281,2483.281,981.9391034483265,0.0,0.0,2392.0871379310406,1910.3634637931482,2511.6914948275926,2483.281,2483.281,1938.7739586207408,738.7739586207408,0.0,2511.6914948275926,2747.593962069015,2631.295851724145,2483.281,2483.281,2895.60881379316,1695.6088137931602,0.0,2631.295851724145
10,33.99999999995043,2822.9999999998868,2220.0,2220.0,636.9999999998372,0.0,-0.0,2220.0000000000564,0.0,2152.8784241379367,2480.924,2152.8784241379367,0.0,0.0,328.0455758620633,2152.8784241379367,25.104248275910322,2272.4827810344887,2480.924,2297.587029310399,0.0,0.0,183.336970689601,2272.4827810344887,981.9391034483265,2392.0871379310406,2480.924,2480.924,893.1022413793671,0.0,0.0,2392.0871379310406,1938.7739586207408,2511.6914948275926,2480.924,2480.924,1969.5414534483334,769.5414534483334,0.0,2511.6914948275926,2895.60881379316,2631.295851724145,2480.924,2480.924,3045.980665517305,1845.9806655173052,0.0,2631.295851724145
