dia,fila_in,adm_in,w_proc,proc,fila_out,spill,ocioso,adm_out,custo
1,1200.0,3000.0,2481.129,2481.129,1718.871,518.8710000000001,0.0,1138.1289999997614,1.2483242826000005e7
2,1718.871,1138.1289999997614,2486.423,2486.423,370.57699999976194,0.0,-0.0,2486.4230000001016,2.9147799599996656e6
3,370.57699999976194,2486.4230000001016,2485.909,2485.909,371.09099999986347,0.0,-0.0,2485.9090000000906,1.0346268599994779e6
4,371.09099999986347,2485.9090000000906,2484.472,2484.472,372.52799999995386,0.0,0.0,2484.47199999981,1.0373485049997419e6
5,372.52799999995386,2484.47199999981,2482.44,2482.44,374.55999999976393,0.0,-0.0,2482.4400000000646,1.042187759999603e6
6,374.55999999976393,2482.4400000000646,2485.432,2485.432,371.56799999982877,0.0,0.0,2485.432000000107,1.0408485599994324e6
7,371.56799999982877,2485.432000000107,2464.063,2464.063,392.9369999999358,0.0,0.0,2464.0629999998782,1.06648447499967e6
8,392.9369999999358,2464.0629999998782,2486.231,2486.231,370.7689999998138,0.0,-0.0,2486.231000000099,1.0653698699996509e6
9,370.7689999998138,2486.231000000099,2489.984,2489.984,367.01599999991276,0.0,0.0,2489.9839999999294,1.0292100749996193e6
10,367.01599999991276,2489.9839999999294,2492.388,2492.388,364.6119999998423,0.0,0.0,2492.3879999999854,1.0206210599996597e6
11,364.6119999998423,2492.3879999999854,2469.13,2469.13,387.86999999982754,0.0,0.0,2469.130000000059,1.0497123899995387e6
12,387.86999999982754,2469.130000000059,2482.151,2482.151,374.8489999998869,0.0,-0.0,2482.1509999999894,1.0639930049996004e6
13,374.8489999998869,2482.1509999999894,2471.078,2471.078,385.92199999987633,0.0,-0.0,2471.0779999999863,1.0612755449996702e6
14,385.92199999987633,2471.0779999999863,2482.097,2482.097,374.90299999986246,0.0,0.0,2482.096999999969,1.061350874999635e6
15,374.90299999986246,2482.096999999969,2474.067,2474.067,382.9329999998313,0.0,-0.0,2474.0670000001023,1.0571812199995741e6
16,382.9329999998313,2474.0670000001023,2472.003,2472.003,384.99699999993345,0.0,-0.0,2472.003000000041,1.0712623499996737e6
17,384.99699999993345,2472.003000000041,2473.26,2473.26,383.7399999999743,0.0,0.0,2473.2599999999516,1.0723881149998717e6
18,383.7399999999743,2473.2599999999516,2481.722,2481.722,375.27799999992567,0.0,-0.0,2481.722000000019,1.0588301099998597e6
19,375.27799999992567,2481.722000000019,2492.302,2492.302,364.6979999999444,0.0,-0.0,2492.3020000000156,1.0322665199998189e6
20,364.6979999999444,2492.3020000000156,2477.674,2477.674,379.32599999996,0.0,-0.0,2477.674000000002,1.0379134799998663e6
21,379.32599999996,2477.674000000002,2480.738,2480.738,376.261999999962,0.0,-0.0,2480.7380000000016,1.0540452599998917e6
22,376.261999999962,2480.7380000000016,2472.63,2472.63,384.3699999999635,0.0,-0.0,2472.6299999999833,1.0610816399998963e6
23,384.3699999999635,2472.6299999999833,2481.721,2481.721,375.2789999999468,0.0,-0.0,2481.7210000000136,1.0597103549998756e6
24,375.2789999999468,2481.7210000000136,2486.804,2486.804,370.19599999996035,0.0,0.0,2486.804000000032,1.0399376249998705e6
25,370.19599999996035,2486.804000000032,2471.577,2471.577,385.42299999999204,0.0,-0.0,2471.576999999979,1.0540885049999338e6
26,385.42299999999204,2471.576999999979,2472.593,2472.593,384.40699999997105,0.0,0.0,2472.593000000015,1.0739128499999484e6
27,384.40699999997105,2472.593000000015,2473.5,2473.5,383.4999999999859,0.0,-0.0,2473.5000000000036,1.07123026499994e6
28,383.4999999999859,2473.5000000000036,2484.456,2484.456,372.5439999999894,0.0,-0.0,2484.455999999998,1.0546813799999654e6
29,372.5439999999894,2484.455999999998,2468.195,2468.195,388.8049999999871,0.0,0.0,2536.195000000007,1.0620818549999674e6
30,388.8049999999871,2536.195000000007,2474.945,2474.945,450.0549999999939,0.0,0.0,0.0,1.1702096999999736e6
