dia,SDDP_fila_in,SDDP_adm_in,SDDP_w_proc,SDDP_proc,SDDP_fila_out,SDDP_spill,SDDP_ocioso,SDDP_adm_out,SDDP_custo,SDDP_custo_acum,P_-10_fila_in,P_-10_adm_in,P_-10_w_proc,P_-10_proc,P_-10_fila_out,P_-10_spill,P_-10_ocioso,P_-10_adm_out,P_-10_custo,P_-10_custo_acum,P_-5_fila_in,P_-5_adm_in,P_-5_w_proc,P_-5_proc,P_-5_fila_out,P_-5_spill,P_-5_ocioso,P_-5_adm_out,P_-5_custo,P_-5_custo_acum,P_0_fila_in,P_0_adm_in,P_0_w_proc,P_0_proc,P_0_fila_out,P_0_spill,P_0_ocioso,P_0_adm_out,P_0_custo,P_0_custo_acum,P_+5_fila_in,P_+5_adm_in,P_+5_w_proc,P_+5_proc,P_+5_fila_out,P_+5_spill,P_+5_ocioso,P_+5_adm_out,P_+5_custo,P_+5_custo_acum,P_+10_fila_in,P_+10_adm_in,P_+10_w_proc,P_+10_proc,P_+10_fila_out,P_+10_spill,P_+10_ocioso,P_+10_adm_out,P_+10_custo,P_+10_custo_acum
1,1200.0,3000.0,2123.677,2123.677,2076.323,909.59,0.0,811.7279999979487,1.9315834075e7,1.9315834075e7,1200.0,3000.0,2123.6769999999656,2123.6769999999656,2076.323000000036,876.3229999999833,0.0,1784.0721103447233,1.8776542738000274e7,1.8776542738000274e7,1200.0,3000.0,2123.6769999999656,2123.6769999999656,2076.323000000036,876.3229999999833,0.0,1883.1872275861122,1.8776542738000274e7,1.8776542738000274e7,1200.0,3000.0,2123.6769999999656,2123.6769999999656,2076.323000000036,876.3229999999833,0.0,1982.3023448274942,1.8776542738000274e7,1.8776542738000274e7,1200.0,3000.0,2123.6769999999656,2123.6769999999656,2076.323000000036,876.3229999999833,0.0,2081.417462068857,1.8776542738000274e7,1.8776542738000274e7,1200.0,3000.0,2123.6769999999656,2123.6769999999656,2076.323000000036,876.3229999999833,0.0,2180.5325793102493,1.8776542738000274e7,1.8776542738000274e7
2,2076.323,811.7279999979487,2074.411,2030.757999999699,857.2929999982499,129.40199999940356,43.65300000030175,1986.7069999996584,8.100079851001056e6,2.7415913926001057e7,2076.323000000036,1784.0721103447233,2074.411000000033,2074.411000000033,1785.984110344732,585.984110344773,0.0,1784.0721103447233,1.488730683172989e7,3.366384956973016e7,2076.323000000036,1883.1872275861122,2074.411000000033,2074.411000000033,1885.0992275861145,685.0992275861435,0.0,1883.1872275861122,1.6632327585881794e7,3.5408870323882066e7,2076.323000000036,1982.3023448274942,2074.411000000033,2074.411000000033,1984.2143448274737,784.2143448274971,0.0,1982.3023448274942,1.837734834003306e7,3.7153891078033336e7,2076.323000000036,2081.417462068857,2074.411000000033,2074.411000000033,2083.3294620688657,883.3294620688815,0.0,2081.417462068857,2.012236909418488e7,3.889891183218515e7,2076.323000000036,2180.5325793102493,2074.411000000033,2074.411000000033,2182.4445793102523,982.4445793102554,0.0,2180.5325793102493,2.186738984833647e7,4.064393258633675e7
3,857.2929999982499,1986.7069999996584,2092.813,2041.6579999996848,802.3419999982148,117.18999999944113,51.15500000031407,2041.6580000003216,6.45314262999973e6,3.3869056556000784e7,1785.984110344732,1784.0721103447233,2092.8130000000347,2092.8130000000347,1477.2432206894941,277.2432206895315,0.0,1784.0721103447233,9.046591977390971e6,4.271044154712114e7,1885.0992275861145,1883.1872275861122,2092.8130000000347,2092.8130000000347,1675.4734551722684,475.47345517227706,0.0,1883.1872275861122,1.2674899074245607e7,4.8083769398127675e7,1984.2143448274737,1982.3023448274942,2092.8130000000347,2092.8130000000347,1873.7036896550524,673.7036896550455,0.0,1982.3023448274942,1.6303206171100711e7,5.345709724913405e7,2083.3294620688657,2081.417462068857,2092.8130000000347,2092.8130000000347,2071.933924137803,871.9339241377655,0.0,2081.417462068857,1.9931513267955802e7,5.883042510014096e7,2182.4445793102523,2180.5325793102493,2092.8130000000347,2092.8130000000347,2270.164158620568,1070.1641586205265,0.0,2180.5325793102493,2.3559820364810947e7,6.420375295114769e7
4,802.3419999982148,2041.6580000003216,2110.471,2053.892999999752,790.1069999987808,112.51999999959733,56.57800000024884,2053.892999999416,6.520985309000225e6,4.039004186500101e7,1477.2432206894941,1784.0721103447233,2110.470999999958,2110.470999999958,1150.8443310343073,0.0,0.0,1784.0721103447233,3.6661821346546593e6,4.637662368177579e7,1675.4734551722684,1883.1872275861122,2110.470999999958,2110.470999999958,1448.1896827584144,248.18968275841905,0.0,1883.1872275861122,8.380913024610279e6,5.6464682422737956e7,1873.7036896550524,1982.3023448274942,2110.470999999958,2110.470999999958,1745.535034482583,545.5350344825451,0.0,1982.3023448274942,1.3892506464168547e7,6.73496037133026e7,2071.933924137803,2081.417462068857,2110.470999999958,2110.470999999958,2042.8803862067275,842.8803862066711,0.0,2081.417462068857,1.9404099903726894e7,7.823452500386785e7,2270.164158620568,2180.5325793102493,2110.470999999958,2110.470999999958,2340.2257379307807,1140.2257379308217,0.0,2180.5325793102493,2.491569334328492e7,8.911944629443261e7
5,790.1069999987808,2053.892999999416,2125.401,2062.967999999692,781.0319999985084,103.19399999955387,62.43300000030832,2062.967999999683,6.5962478880024385e6,4.698628975300345e7,1150.8443310343073,1784.0721103447233,2125.4010000000267,2125.4010000000267,809.5154413790467,0.0,0.0,1784.0721103447233,2.734701882516674e6,4.9111325564292476e7,1448.1896827584144,1883.1872275861122,2125.4010000000267,2125.4010000000267,1205.9759103445504,5.97591034456218,0.0,1883.1872275861122,3.799436484974382e6,6.026411890771234e7,1745.535034482583,1982.3023448274942,2125.4010000000267,2125.4010000000267,1602.4363793100479,402.436379310074,0.0,1982.3023448274942,1.1194316267236153e7,7.854391998053876e7,2042.8803862067275,2081.417462068857,2125.4010000000267,2125.4010000000267,1998.89684827556,798.8968482755608,0.0,2081.417462068857,1.8589196049497854e7,9.68237210533657e7,2340.2257379307807,2180.5325793102493,2125.4010000000267,2125.4010000000267,2395.3573172410734,1195.3573172410634,0.0,2180.5325793102493,2.5984075831760153e7,1.1510352212619276e8
6,781.0319999985084,2062.967999999683,2121.701,2062.733999999697,781.2659999984896,103.4919999995126,58.96700000030175,2062.733999999935,6.43709767300114e6,5.342338742600459e7,809.5154413790467,1784.0721103447233,2121.7009999999423,2121.7009999999423,471.88655172381857,0.0,0.0,1784.0721103447233,1.7875557803785622e6,5.089888134467103e7,1205.9759103445504,1883.1872275861122,2121.7009999999423,2121.7009999999423,967.4621379306851,0.0,0.0,1883.1872275861122,3.0319460773439514e6,6.329606498505629e7,1602.4363793100479,1982.3023448274942,2121.7009999999423,2121.7009999999423,1463.037724137556,263.0377241375755,0.0,1982.3023448274942,8.540440920303585e6,8.708436090084234e7,1998.89684827556,2081.417462068857,2121.7009999999423,2121.7009999999423,1958.6133103445015,758.6133103444771,0.0,2081.417462068857,1.781860704526901e7,1.1464232809863472e8,2395.3573172410734,2180.5325793102493,2121.7009999999423,2121.7009999999423,2454.1888965513026,1254.1888965513406,0.0,2180.5325793102493,2.7096773170234606e7,1.4220029529642737e8
7,781.2659999984896,2062.733999999935,2121.481,2062.418999999742,781.5809999986817,108.1529999995849,59.06200000025495,2062.418999999882,6.517579534000474e6,5.994096696000506e7,471.88655172381857,1784.0721103447233,2121.4809999999693,2121.4809999999693,134.477662068588,0.0,0.0,1784.0721103447233,845878.0782404023,5.1744759422911435e7,967.4621379306851,1883.1872275861122,2121.4809999999693,2121.4809999999693,729.1683655168266,0.0,0.0,1883.1872275861122,2.3667995523093096e6,6.56628645373656e7,1463.037724137556,1982.3023448274942,2121.4809999999693,2121.4809999999693,1323.8590689650794,123.85906896509967,0.0,1982.3023448274942,5.895600393371515e6,9.297996129421386e7,1958.6133103445015,2081.417462068857,2121.4809999999693,2121.4809999999693,1918.5497724133872,718.5497724133397,0.0,2081.417462068857,1.7057052861040108e7,1.3169938095967484e8,2454.1888965513026,2180.5325793102493,2121.4809999999693,2121.4809999999693,2513.2404758616294,1313.2404758615935,0.0,2180.5325793102493,2.8218505328708645e7,1.7041880062513602e8
8,781.5809999986817,2062.418999999882,2095.91,2046.004999999787,797.9949999987775,104.14599999961035,49.9050000002156,2046.0050000001702,6.075312790999609e6,6.6016279751004666e7,134.477662068588,1784.0721103447233,2095.9099999999635,1918.5497724133877,0.0,0.0,177.360227586644,1784.0721103447233,7.947638376184398e6,5.969239779909583e7,729.1683655168266,1883.1872275861122,2095.9099999999635,2095.9099999999635,516.4455931029952,0.0,0.0,1883.1872275861122,1.7376314722746152e6,6.740049600964022e7,1323.8590689650794,1982.3023448274942,2095.9099999999635,2095.9099999999635,1210.251413792606,10.251413792614766,0.0,1982.3023448274942,3.701269792439017e6,9.668123108665287e7,1918.5497724133872,2081.417462068857,2095.9099999999635,2095.9099999999635,1904.0572344822044,704.0572344822549,0.0,2081.417462068857,1.674600860281135e7,1.4844538956248617e8,2513.2404758616294,2180.5325793102493,2095.9099999999635,2095.9099999999635,2597.863055171902,1397.863055171894,0.0,2180.5325793102493,2.979074741318239e7,2.002095480383184e8
9,797.9949999987775,2046.0050000001702,2128.476,2073.684999999825,770.3149999991186,98.71299999972017,54.79100000017616,2073.685000000132,6.1852995160002345e6,7.220157926700489e7,0.0,1784.0721103447233,2128.4760000000174,1784.0721103447233,0.0,0.0,344.4038896552351,1784.0721103447233,1.5068703384085221e7,7.476110118318105e7,516.4455931029952,1883.1872275861122,2128.4760000000174,2128.4760000000174,271.1568206891234,0.0,0.0,1883.1872275861122,1.0987053672399754e6,6.84992013768802e7,1210.251413792606,1982.3023448274942,2128.4760000000174,2128.4760000000174,1064.0777586201405,0.0,0.0,1982.3023448274942,3.172689195515756e6,9.985392028216863e7,1904.0572344822044,2081.417462068857,2128.4760000000174,2128.4760000000174,1856.998696551176,656.9986965511462,0.0,2081.417462068857,1.5897278893581808e7,1.6434266845606798e8,2597.863055171902,2180.5325793102493,2128.4760000000174,2128.4760000000174,2649.9196344821758,1449.9196344821291,0.0,2180.5325793102493,3.0825304046657547e7,2.3103485208497596e8
10,770.3149999991186,2073.685000000132,2110.05,2053.728999999878,790.2709999993766,102.99299999980435,56.32100000012631,2053.728999999614,6.310849706000233e6,7.851242897300513e7,0.0,1784.0721103447233,2110.050000000031,1784.0721103447233,0.0,0.0,325.9778896552349,1784.0721103447233,1.426251060608529e7,8.902361178926635e7,271.1568206891234,1883.1872275861122,2110.050000000031,2110.050000000031,44.29404827526489,0.0,0.0,1883.1872275861122,440053.9622053325,6.893925533908552e7,1064.0777586201405,1982.3023448274942,2110.050000000031,2110.050000000031,936.3301034476588,0.0,0.0,1982.3023448274942,2.7905689675845755e6,1.026444892497532e8,1856.998696551176,2081.417462068857,2110.050000000031,2110.050000000031,1828.3661586200021,628.3661586200279,0.0,2081.417462068857,1.5327527770353217e7,1.796701962264212e8,2649.9196344821758,2180.5325793102493,2110.050000000031,2110.050000000031,2720.4022137923594,1520.4022137923928,0.0,2180.5325793102493,3.213883926613216e7,2.6317369135110813e8
