dia,fila_in,adm_in,w_proc,proc,fila_out,spill,ocioso,adm_out,custo
1,1200.0,3000.0,2170.0,2170.0,2030.0,830.0,0.0,813.9999999975768,1.796098e7
2,2030.0,813.9999999975768,2433.0,2433.0,410.99999999757665,0.0,0.0,2433.0000000003038,3.4051949999966323e6
3,410.99999999757665,2433.0000000003038,987.0,987.0,1856.9999999978804,656.9999999978804,-0.0,987.0000000006299,1.381448699995929e7
4,1856.9999999978804,987.0000000006299,3354.0,2843.9999999985102,-0.0,0.0,510.00000000148975,2843.9999999981933,2.4904545000062227e7
5,-0.0,2843.9999999981933,3123.0,2843.9999999981933,0.0,0.0,279.0000000018067,2843.999999998273,1.2207087000079036e7
6,0.0,2843.999999998273,1940.0,1940.0,903.9999999982729,0.0,-0.0,1940.0000000001385,1.261079999997586e6
7,903.9999999982729,1940.0000000001385,3058.0,2843.999999998411,0.0,0.0,214.0000000015889,2843.9999999985466,1.0624222000067115e7
8,0.0,2843.9999999985466,2729.0,2729.0,114.99999999854663,0.0,0.0,2729.0000000003847,160424.99999797344
9,114.99999999854663,2729.0000000003847,1907.0,1907.0,936.9999999989313,0.0,-0.0,1907.0000000002929,1.4675399999964833e6
10,936.9999999989313,1907.0000000002929,2400.0,2400.0,443.9999999992242,0.0,0.0,2399.999999999779,1.926494999997422e6
11,443.9999999992242,2399.999999999779,2170.0,2170.0,673.9999999990032,0.0,-0.0,2169.999999999509,1.5596099999975264e6
12,673.9999999990032,2169.999999999509,1579.0,1579.0,1264.999999998512,64.99999999851207,-0.0,1579.0000000006319,3.758619999972418e6
13,1264.999999998512,1579.0000000006319,2269.0,2269.0,574.9999999991442,0.0,-0.0,2268.999999999712,2.5667999999967366e6
14,574.9999999991442,2268.999999999712,1875.0,1875.0,968.9999999988563,0.0,0.0,1874.999999999896,2.1538799999972135e6
15,968.9999999988563,1874.999999999896,2499.0,2499.0,344.9999999987522,0.0,0.0,2499.00000000031,1.8330299999966621e6
16,344.9999999987522,2499.00000000031,1973.0,1973.0,870.9999999990623,0.0,0.0,1973.000000000459,1.6963199999969453e6
17,870.9999999990623,1973.000000000459,2072.0,2072.0,771.9999999995216,0.0,-0.0,2071.9999999999936,2.291984999998018e6
18,771.9999999995216,2071.9999999999936,2959.0,2843.9999999995152,-0.0,0.0,115.00000000048476,2843.9999999993606,6.108535000020549e6
19,-0.0,2843.9999999993606,1612.0,1612.0,1231.9999999993606,31.999999999360625,0.0,1612.000000000118,2.2373919999887496e6
20,1231.9999999993606,1612.000000000118,1677.0,1677.0,1166.9999999994789,0.0,0.0,1677.0000000001664,3.346604999998383e6
21,1166.9999999994789,1677.0000000001664,1316.0,1316.0,1527.9999999996453,327.9999999996453,-0.0,1315.999999999983,9.076732999993026e6
22,1527.9999999996453,1315.999999999983,1973.0,1973.0,870.999999999628,0.0,-0.0,1973.0000000000312,3.3466049999989867e6
23,870.999999999628,1973.0000000000312,2368.0,2368.0,475.99999999965894,0.0,-0.0,2368.0000000000277,1.879064999999009e6
24,475.99999999965894,2368.0000000000277,3255.0,2843.9999999996867,0.0,0.0,411.0000000003133,2843.9999999997917,1.8646503000013232e7
25,0.0,2843.9999999997917,2630.0,2630.0,213.99999999979173,0.0,0.0,2630.000000000032,298529.9999997094
26,213.99999999979173,2630.000000000032,3058.0,2843.9999999998236,0.0,0.0,214.00000000017644,2843.9999999998768,9.661672000007432e6
27,0.0,2843.9999999998768,1447.0,1447.0,1396.9999999998768,196.99999999987676,-0.0,1447.0000000000282,5.142381999997832e6
28,1396.9999999998768,1447.0000000000282,1447.0,1447.0,1396.999999999905,196.99999999990496,0.0,1447.0000000000218,7.091196999998156e6
29,1396.999999999905,1447.0000000000218,2433.0,2433.0,410.9999999999268,0.0,0.0,2482.0000000000637,2.5221599999997653e6
30,410.9999999999268,2482.0000000000637,2532.0,2532.0,360.99999999999045,0.0,-0.0,0.0,1.0769399999998845e6
