dia,SDDP_FilaIni,SDDP_AdmIn,SDDP_Wproc,SDDP_Proc,SDDP_FilaFim,SDDP_Spill,SDDP_Ocioso,SDDP_AdmOut,P_-10_FilaIni,P_-10_AdmIn,P_-10_Wproc,P_-10_Proc,P_-10_FilaFim,P_-10_Spill,P_-10_Ocioso,P_-10_AdmOut,P_-5_FilaIni,P_-5_AdmIn,P_-5_Wproc,P_-5_Proc,P_-5_FilaFim,P_-5_Spill,P_-5_Ocioso,P_-5_AdmOut,P_0_FilaIni,P_0_AdmIn,P_0_Wproc,P_0_Proc,P_0_FilaFim,P_0_Spill,P_0_Ocioso,P_0_AdmOut,P_+5_FilaIni,P_+5_AdmIn,P_+5_Wproc,P_+5_Proc,P_+5_FilaFim,P_+5_Spill,P_+5_Ocioso,P_+5_AdmOut,P_+10_FilaIni,P_+10_AdmIn,P_+10_Wproc,P_+10_Proc,P_+10_FilaFim,P_+10_Spill,P_+10_Ocioso,P_+10_AdmOut
1,1200.0,3000.0,987.0,987.0,3213.0,2013.0,0.0,0.0,1200.0,3000.0,2095.348,2095.348,2104.652,904.652,0.0,1776.7052068965047,1200.0,3000.0,2095.348,2095.348,2104.652,904.652,0.0,1875.4110517240883,1200.0,3000.0,2095.348,2095.348,2104.652,904.652,0.0,1974.116896551672,1200.0,3000.0,2095.348,2095.348,2104.652,904.652,0.0,2072.8227413792556,1200.0,3000.0,2095.348,2095.348,2104.652,904.652,0.0,2171.5285862068395
2,3213.0,0.0,2302.0,2302.0,911.0,0.0,-0.0,1932.9999999980228,2104.652,1776.7052068965047,2082.002,2082.002,1799.355206896505,599.355206896505,0.0,1776.7052068965047,2104.652,1875.4110517240883,2082.002,2082.002,1898.0610517240884,698.0610517240884,0.0,1875.4110517240883,2104.652,1974.116896551672,2082.002,2082.002,1996.7668965516718,796.7668965516718,0.0,1974.116896551672,2104.652,2072.8227413792556,2082.002,2082.002,2095.4727413792557,895.4727413792557,0.0,2072.8227413792556,2104.652,2171.5285862068395,2082.002,2082.002,2194.1785862068396,994.1785862068396,0.0,2171.5285862068395
3,911.0,1932.9999999980228,1743.0,1743.0,1100.9999999980228,0.0,0.0,1743.0000000003959,1799.355206896505,1776.7052068965047,2100.953,2100.953,1475.1074137930095,275.1074137930095,0.0,1776.7052068965047,1898.0610517240884,1875.4110517240883,2100.953,2100.953,1672.5191034481768,472.5191034481768,0.0,1875.4110517240883,1996.7668965516718,1974.116896551672,2100.953,2100.953,1869.930793103344,669.9307931033441,0.0,1974.116896551672,2095.4727413792557,2072.8227413792556,2100.953,2100.953,2067.342482758511,867.3424827585109,0.0,2072.8227413792556,2194.1785862068396,2171.5285862068395,2100.953,2100.953,2264.7541724136786,1064.7541724136786,0.0,2171.5285862068395
4,1100.9999999980228,1743.0000000003959,1940.0,1940.0,903.9999999984184,0.0,-0.0,1939.9999999994918,1475.1074137930095,1776.7052068965047,2114.499,2114.499,1137.3136206895142,0.0,0.0,1776.7052068965047,1672.5191034481768,1875.4110517240883,2114.499,2114.499,1433.4311551722653,233.43115517226533,0.0,1875.4110517240883,1869.930793103344,1974.116896551672,2114.499,2114.499,1729.5486896550165,529.5486896550165,0.0,1974.116896551672,2067.342482758511,2072.8227413792556,2114.499,2114.499,2025.6662241377671,825.6662241377671,0.0,2072.8227413792556,2264.7541724136786,2171.5285862068395,2114.499,2114.499,2321.7837586205187,1121.7837586205187,0.0,2171.5285862068395
5,903.9999999984184,1939.9999999994918,2170.0,2170.0,673.99999999791,0.0,0.0,2170.0000000005994,1137.3136206895142,1776.7052068965047,2093.267,2093.267,820.7518275860193,0.0,0.0,1776.7052068965047,1433.4311551722653,1875.4110517240883,2093.267,2093.267,1215.5752068963538,15.575206896353848,0.0,1875.4110517240883,1729.5486896550165,1974.116896551672,2093.267,2093.267,1610.3985862066884,410.3985862066884,0.0,1974.116896551672,2025.6662241377671,2072.8227413792556,2093.267,2093.267,2005.221965517023,805.2219655170229,0.0,2072.8227413792556,2321.7837586205187,2171.5285862068395,2093.267,2093.267,2400.0453448273583,1200.0453448273583,0.0,2171.5285862068395
6,673.99999999791,2170.0000000005994,1414.0,1414.0,1429.9999999985093,229.99999999850934,0.0,1414.0000000002956,820.7518275860193,1776.7052068965047,2079.24,2079.24,518.2170344825245,0.0,0.0,1776.7052068965047,1215.5752068963538,1875.4110517240883,2079.24,2079.24,1011.7462586204424,0.0,0.0,1875.4110517240883,1610.3985862066884,1974.116896551672,2079.24,2079.24,1505.2754827583603,305.27548275836034,0.0,1974.116896551672,2005.221965517023,2072.8227413792556,2079.24,2079.24,1998.8047068962787,798.8047068962787,0.0,2072.8227413792556,2400.0453448273583,2171.5285862068395,2079.24,2079.24,2492.333931034198,1292.333931034198,0.0,2171.5285862068395
7,1429.9999999985093,1414.0000000002956,1973.0,1973.0,870.9999999988049,0.0,-0.0,1973.00000000001,518.2170344825245,1776.7052068965047,2133.461,2133.461,161.46124137902962,0.0,0.0,1776.7052068965047,1011.7462586204424,1875.4110517240883,2133.461,2133.461,753.696310344531,0.0,0.0,1875.4110517240883,1505.2754827583603,1974.116896551672,2133.461,2133.461,1345.9313793100323,145.9313793100323,0.0,1974.116896551672,1998.8047068962787,2072.8227413792556,2133.461,2133.461,1938.1664482755345,738.1664482755345,0.0,2072.8227413792556,2492.333931034198,2171.5285862068395,2133.461,2133.461,2530.4015172410377,1330.4015172410377,0.0,2171.5285862068395
8,870.9999999988049,1973.00000000001,856.0,856.0,1987.999999998815,787.9999999988149,0.0,856.0000000000285,161.46124137902962,1776.7052068965047,2110.111,1938.1664482755343,0.0,0.0,171.94455172446555,1776.7052068965047,753.696310344531,1875.4110517240883,2110.111,2110.111,518.9963620686194,0.0,0.0,1875.4110517240883,1345.9313793100323,1974.116896551672,2110.111,2110.111,1209.9372758617046,9.93727586170462,0.0,1974.116896551672,1938.1664482755345,2072.8227413792556,2110.111,2110.111,1900.8781896547903,700.8781896547903,0.0,2072.8227413792556,2530.4015172410377,2171.5285862068395,2110.111,2110.111,2591.8191034478778,1391.8191034478778,0.0,2171.5285862068395
9,1987.999999998815,856.0000000000285,2072.0,2072.0,771.9999999988436,0.0,-0.0,2072.000000000476,0.0,1776.7052068965047,2103.402,1776.7052068965047,0.0,0.0,326.69679310349534,1776.7052068965047,518.9963620686194,1875.4110517240883,2103.402,2103.402,291.0054137927077,0.0,0.0,1875.4110517240883,1209.9372758617046,1974.116896551672,2103.402,2103.402,1080.6521724133763,0.0,0.0,1974.116896551672,1900.8781896547903,2072.8227413792556,2103.402,2103.402,1870.2989310340458,670.2989310340458,0.0,2072.8227413792556,2591.8191034478778,2171.5285862068395,2103.402,2103.402,2659.945689654717,1459.9456896547172,0.0,2171.5285862068395
10,771.9999999988436,2072.000000000476,2729.0,2729.0,114.9999999993197,0.0,0.0,2728.999999999698,0.0,1776.7052068965047,2081.954,1776.7052068965047,0.0,0.0,305.2487931034955,1776.7052068965047,291.0054137927077,1875.4110517240883,2081.954,2081.954,84.46246551679587,0.0,0.0,1875.4110517240883,1080.6521724133763,1974.116896551672,2081.954,2081.954,972.8150689650479,0.0,0.0,1974.116896551672,1870.2989310340458,2072.8227413792556,2081.954,2081.954,1861.1676724133013,661.1676724133013,0.0,2072.8227413792556,2659.945689654717,2171.5285862068395,2081.954,2081.954,2749.5202758615565,1549.5202758615565,0.0,2171.5285862068395
