dia,fila_in,adm_in,w_proc,proc,fila_out,spill,ocioso,adm_out,custo
1,1200.0,3000.0,2079.729,2079.729,2120.271,920.2710000000002,0.0,723.7289999982894,1.955029122600001e7
2,2120.271,723.7289999982894,2057.612,2057.612,786.3879999982896,0.0,-0.0,2057.61199999939,4.054789304997623e6
3,786.3879999982896,2057.61199999939,2110.929,2110.929,733.0709999976793,0.0,-0.0,2110.928999999511,2.1196453049943745e6
4,733.0709999976793,2110.928999999511,2114.435,2114.435,729.5649999971902,0.0,-0.0,2114.435000001286,2.0403772199928463e6
5,729.5649999971902,2114.435000001286,2124.59,2124.59,719.409999998476,0.0,-0.0,2124.5899999998314,2.0213201249939501e6
6,719.409999998476,2124.5899999998314,2126.433,2126.433,717.5669999983074,0.0,0.0,2126.433000000086,2.0045829149955213e6
7,717.5669999983074,2126.433000000086,2112.268,2112.268,731.7319999983933,0.0,-0.0,2112.2680000003475,2.0217721049953997e6
8,731.7319999983933,2112.2680000003475,2119.454,2119.454,724.5459999987406,0.0,0.0,2119.454000000007,2.0315078099960089e6
9,724.5459999987406,2119.454000000007,2107.028,2107.028,736.9719999987478,0.0,-0.0,2107.028000000151,2.0388176099964976e6
10,736.9719999987478,2107.028000000151,2075.705,2075.705,768.2949999988991,0.0,0.0,2075.7050000001705,2.0998474649967104e6
11,768.2949999988991,2075.7050000001705,2055.145,2055.145,788.8549999990696,0.0,-0.0,2055.1449999996585,2.172224249997169e6
12,788.8549999990696,2055.1449999996585,2092.746,2092.746,751.253999998728,0.0,-0.0,2092.7460000001497,2.1484520549969226e6
13,751.253999998728,2092.7460000001497,2104.537,2104.537,739.4629999988779,0.0,-0.0,2104.5370000000116,2.0795502149966657e6
14,739.4629999988779,2104.5370000000116,2094.795,2094.795,749.2049999988894,0.0,-0.0,2094.794999999835,2.076691859996885e6
15,749.2049999988894,2094.794999999835,2086.338,2086.338,757.6619999987242,0.0,0.0,2086.3380000004645,2.1020794649966657e6
16,757.6619999987242,2086.3380000004645,2099.972,2099.972,744.0279999991885,0.0,-0.0,2099.9720000000566,2.0948575499970913e6
17,744.0279999991885,2099.9720000000566,2106.136,2106.136,737.8639999992452,0.0,0.0,2106.135999999798,2.067239339997813e6
18,737.8639999992452,2106.135999999798,2111.508,2111.508,732.4919999990434,0.0,-0.0,2111.50800000038,2.0511466199976057e6
19,732.4919999990434,2111.50800000038,2102.194,2102.194,741.8059999994234,0.0,0.0,2102.1939999998863,2.0566457099978626e6
20,741.8059999994234,2102.1939999998863,2115.157,2115.157,728.8429999993095,0.0,0.0,2115.1570000002757,2.051555354998231e6
21,728.8429999993095,2115.1570000002757,2116.849,2116.849,727.1509999995851,0.0,-0.0,2116.8489999999415,2.0311116299984604e6
22,727.1509999995851,2116.8489999999415,2081.28,2081.28,762.7199999995264,0.0,0.0,2081.2800000000457,2.0783700449987575e6
23,762.7199999995264,2081.2800000000457,2111.494,2111.494,732.5059999995719,0.0,0.0,2111.4940000001357,2.0858402699987441e6
24,732.5059999995719,2111.4940000001357,2112.662,2112.662,731.3379999997078,0.0,0.0,2112.6620000001153,2.0420623799989969e6
25,731.3379999997078,2112.6620000001153,2132.289,2132.289,711.7109999998229,0.0,0.0,2132.2890000000834,2.0130533549993448e6
26,711.7109999998229,2132.2890000000834,2148.541,2148.541,695.4589999999062,0.0,0.0,2148.5409999999474,1.9630021499996223e6
27,695.4589999999062,2148.5409999999474,2133.662,2133.662,710.3379999998538,0.0,0.0,2133.661999999992,1.961086814999666e6
28,710.3379999998538,2133.661999999992,2101.46,2101.46,742.5399999998458,0.0,0.0,2101.460000000056,2.0267648099995814e6
29,742.5399999998458,2101.460000000056,2121.086,2121.086,722.913999999902,0.0,-0.0,2170.0860000000816,2.044308329999648e6
30,722.913999999902,2170.0860000000816,2114.228,2114.228,778.7719999999836,0.0,-0.0,0.0,2.0948519699998405e6
