dia,SDDP_fila_in,SDDP_adm_in,SDDP_w_proc,SDDP_proc,SDDP_fila_out,SDDP_spill,SDDP_ocioso,SDDP_adm_out,SDDP_custo,SDDP_custo_acum,P_-10_fila_in,P_-10_adm_in,P_-10_w_proc,P_-10_proc,P_-10_fila_out,P_-10_spill,P_-10_ocioso,P_-10_adm_out,P_-10_custo,P_-10_custo_acum,P_-5_fila_in,P_-5_adm_in,P_-5_w_proc,P_-5_proc,P_-5_fila_out,P_-5_spill,P_-5_ocioso,P_-5_adm_out,P_-5_custo,P_-5_custo_acum,P_0_fila_in,P_0_adm_in,P_0_w_proc,P_0_proc,P_0_fila_out,P_0_spill,P_0_ocioso,P_0_adm_out,P_0_custo,P_0_custo_acum,P_+5_fila_in,P_+5_adm_in,P_+5_w_proc,P_+5_proc,P_+5_fila_out,P_+5_spill,P_+5_ocioso,P_+5_adm_out,P_+5_custo,P_+5_custo_acum,P_+10_fila_in,P_+10_adm_in,P_+10_w_proc,P_+10_proc,P_+10_fila_out,P_+10_spill,P_+10_ocioso,P_+10_adm_out,P_+10_custo,P_+10_custo_acum
1,1200.0,3000.0,2482.452,2482.452,1717.548,517.959,0.0,1139.4519999998136,1.2466612809e7,1.2466612809e7,1200.0,3000.0,2482.4520000000366,2482.4520000000366,1717.5479999999686,517.5480000000067,0.0,2151.4061482758375,1.2459950087999871e7,1.2459950087999871e7,1200.0,3000.0,2482.4520000000366,2482.4520000000366,1717.5479999999686,517.5480000000067,0.0,2270.928712069006,1.2459950087999871e7,1.2459950087999871e7,1200.0,3000.0,2482.4520000000366,2482.4520000000366,1717.5479999999686,517.5480000000067,0.0,2390.4512758620845,1.2459950087999871e7,1.2459950087999871e7,1200.0,3000.0,2482.4520000000366,2482.4520000000366,1717.5479999999686,517.5480000000067,0.0,2509.9738396551993,1.2459950087999871e7,1.2459950087999871e7,1200.0,3000.0,2482.4520000000366,2482.4520000000366,1717.5479999999686,517.5480000000067,0.0,2629.4964034482828,1.2459950087999871e7,1.2459950087999871e7
2,1717.548,1139.4519999998136,2472.184,2466.8329999999905,390.16699999983064,0.0,5.351000000008516,2466.8330000000437,3.1743847280001105e6,1.564099753700011e7,1717.5479999999686,2151.4061482758375,2472.183999999941,2472.183999999941,1396.7701482758803,196.77014827585862,0.0,2151.4061482758375,7.534314690544877e6,1.9994264778544746e7,1717.5479999999686,2270.928712069006,2472.183999999941,2472.183999999941,1516.292712068949,316.2927120689646,0.0,2270.928712069006,9.638628948686397e6,2.2098579036686268e7,1717.5479999999686,2390.4512758620845,2472.183999999941,2472.183999999941,1635.8152758620968,435.81527586206045,0.0,2390.4512758620845,1.174294320682733e7,2.42028932948272e7,1717.5479999999686,2509.9738396551993,2472.183999999941,2472.183999999941,1755.3378396551645,555.337839655174,0.0,2509.9738396551993,1.3847257464969156e7,2.6307207552969027e7,1717.5479999999686,2629.4964034482828,2472.183999999941,2472.183999999941,1874.8604034482937,674.8604034482697,0.0,2629.4964034482828,1.5951571723110223e7,2.8411521811110094e7
3,390.166999999832,2466.8330000000437,2484.166,2478.4389999999976,378.56099999991545,0.0,5.7270000000054395,2478.438999999962,1.3229489909998812e6,1.696394652799999e7,1396.7701482758803,2151.4061482758375,2484.166000000014,2484.166000000014,1064.0102965517376,0.0,0.0,2151.4061482758375,3.432788720534444e6,2.342705349907919e7,1516.292712068949,2270.928712069006,2484.166000000014,2484.166000000014,1303.0554241379532,103.05542413792892,0.0,2270.928712069006,5.603622130708676e6,2.7702201167394944e7,1635.8152758620968,2390.4512758620845,2484.166000000014,2484.166000000014,1542.1005517241415,342.1005517241415,0.0,2390.4512758620845,9.97898462348284e6,3.418187791831004e7,1755.3378396551645,2509.9738396551993,2484.166000000014,2484.166000000014,1781.1456793103741,581.1456793103529,0.0,2509.9738396551993,1.4354347116256742e7,4.066155466922577e7,1874.8604034482937,2629.4964034482828,2484.166000000014,2484.166000000014,2020.1908068965988,820.1908068965439,0.0,2629.4964034482828,1.8729709609031323e7,4.714123142014142e7
4,378.5609999999159,2478.438999999962,2474.954,2470.2149999999924,386.7849999998579,0.0,4.739000000007805,2470.214999999992,1.2750031370000266e6,1.8238949665000018e7,1064.0102965517376,2151.4061482758375,2474.953999999957,2474.953999999957,740.4624448275762,0.0,0.0,2151.4061482758375,2.5172394742241027e6,2.5944292973303296e7,1303.0554241379532,2270.928712069006,2474.953999999957,2474.953999999957,1099.0301362068872,0.0,0.0,2270.928712069006,3.350909356680992e6,3.1053110524075933e7,1542.1005517241415,2390.4512758620845,2474.953999999957,2474.953999999957,1457.5978275861914,257.5978275862016,0.0,2390.4512758620845,8.3604976221380085e6,4.254237554044805e7,1781.1456793103741,2509.9738396551993,2474.953999999957,2474.953999999957,1816.1655189655553,616.1655189655227,0.0,2509.9738396551993,1.5006908349544628e7,5.56684630187704e7,2020.1908068965988,2629.4964034482828,2474.953999999957,2474.953999999957,2174.7332103448025,974.7332103448066,0.0,2629.4964034482828,2.1653319076951515e7,6.879455049709293e7
5,386.7849999998589,2470.214999999992,2482.449,2476.903999999991,380.0959999998572,0.0,5.545000000009053,2476.903999999959,1.3124093799999992e6,1.9551359045000017e7,740.4624448275762,2151.4061482758375,2482.449000000019,2482.449000000019,409.4195931034488,0.0,0.0,2151.4061482758375,1.6040854429137746e6,2.7548378416217066e7,1099.0301362068872,2270.928712069006,2482.449000000019,2482.449000000019,887.5098482758383,0.0,0.0,2270.928712069006,2.7712232783533987e6,3.382433380242933e7,1457.5978275861914,2390.4512758620845,2482.449000000019,2482.449000000019,1365.60010344829,165.60010344827285,0.0,2390.4512758620845,6.622904390792924e6,4.9165279931240976e7,1816.1655189655553,2509.9738396551993,2482.449000000019,2482.449000000019,1843.6903586206565,643.6903586206834,0.0,2509.9738396551993,1.5540363352832787e7,7.120882637160318e7,2174.7332103448025,2629.4964034482828,2482.449000000019,2482.449000000019,2321.780613793071,1121.7806137930822,0.0,2629.4964034482828,2.445782231487266e7,9.32523728119656e7
6,380.09599999985767,2476.903999999959,2472.761,2468.51999999999,388.4799999997975,0.0,4.241000000009421,2468.5200000001364,1.2577199929999423e6,2.0809079037999958e7,409.4195931034488,2151.4061482758375,2472.7609999999777,2472.7609999999777,88.06474137930905,0.0,0.0,2151.4061482758375,693990.6466034559,2.8242369062820524e7,887.5098482758383,2270.928712069006,2472.7609999999777,2472.7609999999777,685.6775603448145,0.0,0.0,2270.928712069006,2.194596435025881e6,3.601893023745521e7,1365.60010344829,2390.4512758620845,2472.7609999999777,2472.7609999999777,1283.290379310337,83.2903793103455,0.0,2390.4512758620845,5.045422562448196e6,5.421070249368917e7,1843.6903586206565,2509.9738396551993,2472.7609999999777,2472.7609999999777,1880.9031982758872,680.9031982758427,0.0,2509.9738396551993,1.6233929759120844e7,8.744275613072403e7,2321.780613793071,2629.4964034482828,2472.7609999999777,2472.7609999999777,2478.5160172414003,1278.5160172413973,0.0,2629.4964034482828,2.742243695579261e7,1.206748097677582e8
7,388.47999999979834,2468.5200000001364,2486.912,2481.7969999999978,375.20299999993324,0.0,5.115000000004579,2481.7969999999555,1.2891343799998183e6,2.2098213417999778e7,88.06474137930905,2151.4061482758375,2486.9120000000103,2239.4708896551597,0.0,0.0,247.44111034483066,2151.4061482758375,1.094914121514131e7,3.9191510277961835e7,685.6775603448145,2270.928712069006,2486.9120000000103,2486.9120000000103,469.6942724137917,0.0,0.0,2270.928712069006,1.611743706698254e6,3.7630673944153465e7,1283.290379310337,2390.4512758620845,2486.9120000000103,2486.9120000000103,1186.8296551724059,0.0,0.0,2390.4512758620845,3.4458174481034297e6,5.76565199417926e7,1880.9031982758872,2509.9738396551993,2486.9120000000103,2486.9120000000103,1903.9650379310026,703.9650379310248,0.0,2509.9738396551993,1.6691868419408768e7,1.041346245501328e8,2478.5160172414003,2629.4964034482828,2486.9120000000103,2486.9120000000103,2621.1004206896732,1421.1004206896707,0.0,2629.4964034482828,3.0151423850714553e7,1.5082623361847278e8
8,375.20299999993324,2481.7969999999555,2490.252,2484.6819999999907,372.31799999985935,0.0,5.5700000000098715,2484.681999999964,1.2864960050001377e6,2.3384709422999915e7,0.0,2151.4061482758375,2490.252000000012,2151.4061482758375,0.0,0.0,338.8458517241468,2151.4061482758375,1.4825522550486034e7,5.401703282844787e7,469.6942724137917,2270.928712069006,2490.252000000012,2490.252000000012,250.370984482755,0.0,0.0,2270.928712069006,1.0044910333707033e6,3.863516497752417e7,1186.8296551724059,2390.4512758620845,2490.252000000012,2490.252000000012,1087.0289310344942,0.0,0.0,2390.4512758620845,3.1720327277585664e6,6.0828552669551164e7,1903.9650379310026,2509.9738396551993,2490.252000000012,2490.252000000012,1923.6868775861842,723.6868775861905,0.0,2509.9738396551993,1.7071262394696802e7,1.212058869448296e8,2621.1004206896732,2629.4964034482828,2490.252000000012,2490.252000000012,2760.344824137954,1560.3448241379238,0.0,2629.4964034482828,3.2801866060634598e7,1.8362809967910737e8
9,372.3179999998602,2484.681999999964,2473.738,2468.0219999999867,388.97799999980475,0.0,5.716000000012784,2468.022000000039,1.3121000680001052e6,2.469680949100002e7,0.0,2151.4061482758375,2473.737999999944,2151.4061482758375,0.0,0.0,322.33185172413255,2151.4061482758375,1.4102985508485934e7,6.81200183369338e7,250.370984482755,2270.928712069006,2473.737999999944,2473.737999999944,47.56169655172499,0.0,0.0,2270.928712069006,415616.09004310926,3.905078106756728e7,1087.0289310344942,2390.4512758620845,2473.737999999944,2473.737999999944,1003.7422068965407,0.0,0.0,2390.4512758620845,2.9166257374138418e6,6.3745178406965e7,1923.6868775861842,2509.9738396551993,2473.737999999944,2473.737999999944,1959.92271724135,759.92271724137,0.0,2509.9738396551993,1.7736742553984184e7,1.3894262949881378e8,2760.344824137954,2629.4964034482828,2473.737999999944,2473.737999999944,2916.1032275861776,1716.1032275862358,0.0,2629.4964034482828,3.573839445455531e7,2.1936649413366267e8
10,388.97799999980595,2468.022000000039,2472.145,2467.4829999999924,389.5169999998946,0.0,4.662000000006124,2467.4829999999765,1.2899770109998377e6,2.5986786501999855e7,0.0,2151.4061482758375,2472.145000000016,2151.4061482758375,0.0,0.0,320.7388517241347,2151.4061482758375,1.4033286979486356e7,8.215330531642015e7,47.56169655172499,2270.928712069006,2472.145000000016,2318.490408620745,0.0,0.0,153.65459137930904,2270.928712069006,6.789197903308793e6,4.5839978970876075e7,1003.7422068965407,2390.4512758620845,2472.145000000016,2472.145000000016,922.0484827586062,0.0,0.0,2390.4512758620845,2.686478012068936e6,6.643165641903394e7,1959.92271724135,2509.9738396551993,2472.145000000016,2472.145000000016,1997.7515568965894,797.7515568965667,0.0,2509.9738396551993,1.8453306101272557e7,1.5739593560008636e8,2916.1032275861776,2629.4964034482828,2472.145000000016,2472.145000000016,3073.4546310344363,1873.4546310345052,0.0,2629.4964034482828,3.872600623647583e7,2.580925003701385e8
