dia,fila_in,adm_in,w_proc,proc,fila_out,spill,ocioso,adm_out,custo
1,1200.0,3000.0,2277.0,2277.0,1923.0,723.0,0.0,933.9999999997023,1.6077138e7
2,1923.0,933.9999999997023,2414.0,2414.0,442.99999999970214,0.0,-0.0,2414.0000000000955,3.300569999999583e6
3,442.99999999970214,2414.0000000000955,2232.0,2232.0,624.9999999997976,0.0,-0.0,2232.00000000013,1.4898599999992996e6
4,624.9999999997976,2232.00000000013,2641.0,2641.0,215.9999999999277,0.0,0.0,2640.999999999951,1.17319499999962e6
5,215.9999999999277,2640.999999999951,2266.0,2266.0,590.9999999998786,0.0,-0.0,2266.000000000006,1.1257649999997318e6
6,590.9999999998786,2266.000000000006,2812.0,2812.0,44.999999999884494,0.0,-0.0,2812.000000000035,887219.9999996684
7,44.999999999884494,2812.000000000035,2539.0,2539.0,317.9999999999195,0.0,0.0,2539.0000000000086,506384.99999972805
8,317.9999999999195,2539.0000000000086,2448.0,2448.0,408.99999999992815,0.0,-0.0,2447.9999999999613,1.0141649999997877e6
9,408.99999999992815,2447.9999999999613,2812.0,2812.0,44.999999999889496,0.0,0.0,2811.9999999999322,633329.9999997467
10,44.999999999889496,2811.9999999999322,2971.0,2856.9999999998217,0.0,0.0,114.00000000017826,2856.999999999866,5.050617000007644e6
11,0.0,2856.999999999866,2721.0,2721.0,135.99999999986585,0.0,0.0,2721.0000000000423,189719.99999981374
12,135.99999999986585,2721.0000000000423,2209.0,2209.0,647.9999999999081,0.0,0.0,2209.0000000000155,1.0936799999996834e6
13,647.9999999999081,2209.0000000000155,2596.0,2596.0,260.9999999999236,0.0,-0.0,2595.999999999958,1.2680549999997653e6
14,260.9999999999236,2595.999999999958,2846.0,2846.0,10.999999999881766,0.0,0.0,2846.000000000043,379439.99999972805
15,10.999999999881766,2846.000000000043,2550.0,2550.0,306.99999999992497,0.0,0.0,2549.9999999999827,443609.9999997318
16,306.99999999992497,2549.9999999999827,2698.0,2698.0,158.9999999999077,0.0,0.0,2698.0000000000427,650069.9999997653
17,158.9999999999077,2698.0000000000427,2789.0,2789.0,67.99999999995043,0.0,-0.0,2789.000000000003,316664.99999980256
18,67.99999999995043,2789.000000000003,2516.0,2516.0,340.9999999999536,0.0,0.0,2515.999999999996,570554.9999998659
19,340.9999999999536,2515.999999999996,2482.0,2482.0,374.9999999999495,0.0,0.0,2482.000000000024,998819.999999864
20,374.9999999999495,2482.000000000024,2482.0,2482.0,374.9999999999736,0.0,-0.0,2481.9999999999727,1.046249999999892e6
21,374.9999999999736,2481.9999999999727,2630.0,2630.0,226.99999999994634,0.0,0.0,2630.000000000018,839789.9999998882
22,226.99999999994634,2630.000000000018,2618.0,2618.0,238.99999999996453,0.0,0.0,2617.9999999999704,650069.9999998752
23,238.99999999996453,2617.9999999999704,2584.0,2584.0,272.99999999993497,0.0,0.0,2584.000000000015,714239.9999998603
24,272.99999999993497,2584.000000000015,2289.0,2289.0,567.99999999995,0.0,0.0,2289.0000000000045,1.1731949999998389e6
25,567.99999999995,2289.0000000000045,2311.0,2311.0,545.9999999999545,0.0,0.0,2311.00000000001,1.5540299999998668e6
26,545.9999999999545,2311.00000000001,2425.0,2425.0,431.99999999996453,0.0,-0.0,2425.0000000000095,1.3643099999998873e6
27,431.99999999996453,2425.0000000000095,2084.0,2084.0,772.9999999999741,0.0,0.0,2084.000000000009,1.6809749999999143e6
28,772.9999999999741,2084.000000000009,2414.0,2414.0,442.9999999999832,0.0,-0.0,2414.000000000006,1.6963199999999404e6
29,442.9999999999832,2414.000000000006,2175.0,2175.0,681.9999999999891,0.0,-0.0,2243.0000000000023,1.5693749999999616e6
30,681.9999999999891,2243.0000000000023,2380.0,2380.0,544.9999999999914,0.0,0.0,0.0,1.7116649999999725e6
