dia,SDDP_FilaIni,SDDP_AdmIn,SDDP_Wproc,SDDP_Proc,SDDP_FilaFim,SDDP_Spill,SDDP_Ocioso,SDDP_AdmOut,P_-10_FilaIni,P_-10_AdmIn,P_-10_Wproc,P_-10_Proc,P_-10_FilaFim,P_-10_Spill,P_-10_Ocioso,P_-10_AdmOut,P_-5_FilaIni,P_-5_AdmIn,P_-5_Wproc,P_-5_Proc,P_-5_FilaFim,P_-5_Spill,P_-5_Ocioso,P_-5_AdmOut,P_0_FilaIni,P_0_AdmIn,P_0_Wproc,P_0_Proc,P_0_FilaFim,P_0_Spill,P_0_Ocioso,P_0_AdmOut,P_+5_FilaIni,P_+5_AdmIn,P_+5_Wproc,P_+5_Proc,P_+5_FilaFim,P_+5_Spill,P_+5_Ocioso,P_+5_AdmOut,P_+10_FilaIni,P_+10_AdmIn,P_+10_Wproc,P_+10_Proc,P_+10_FilaFim,P_+10_Spill,P_+10_Ocioso,P_+10_AdmOut
1,1200.0,3000.0,2834.0,2834.0,1366.0,166.0,0.0,1490.9999999997008,1200.0,3000.0,2497.671,2497.671,1702.3290000000002,502.3290000000002,0.0,2152.000303448279,1200.0,3000.0,2497.671,2497.671,1702.3290000000002,502.3290000000002,0.0,2271.555875862072,1200.0,3000.0,2497.671,2497.671,1702.3290000000002,502.3290000000002,0.0,2391.1114482758653,1200.0,3000.0,2497.671,2497.671,1702.3290000000002,502.3290000000002,0.0,2510.667020689659,1200.0,3000.0,2497.671,2497.671,1702.3290000000002,502.3290000000002,0.0,2630.2225931034523
2,1366.0,1490.9999999997008,2300.0,2300.0,556.9999999997008,0.0,0.0,2300.000000000118,1702.3290000000002,2152.000303448279,2494.936,2494.936,1359.3933034482789,159.39330344827886,0.0,2152.000303448279,1702.3290000000002,2271.555875862072,2494.936,2494.936,1478.9488758620719,278.9488758620719,0.0,2271.555875862072,1702.3290000000002,2391.1114482758653,2494.936,2494.936,1598.5044482758653,398.50444827586534,0.0,2391.1114482758653,1702.3290000000002,2510.667020689659,2494.936,2494.936,1718.0600206896593,518.0600206896593,0.0,2510.667020689659,1702.3290000000002,2630.2225931034523,2494.936,2494.936,1837.6155931034523,637.6155931034523,0.0,2630.2225931034523
3,556.9999999997008,2300.000000000118,2482.0,2482.0,374.99999999981856,0.0,-0.0,2482.000000000113,1359.3933034482789,2152.000303448279,2486.003,2486.003,1025.3906068965575,0.0,0.0,2152.000303448279,1478.9488758620719,2271.555875862072,2486.003,2486.003,1264.5017517241436,64.50175172414356,0.0,2271.555875862072,1598.5044482758653,2391.1114482758653,2486.003,2486.003,1503.6128965517305,303.6128965517305,0.0,2391.1114482758653,1718.0600206896593,2510.667020689659,2486.003,2486.003,1742.7240413793174,542.7240413793174,0.0,2510.667020689659,1837.6155931034523,2630.2225931034523,2486.003,2486.003,1981.8351862069044,781.8351862069044,0.0,2630.2225931034523
4,374.99999999981856,2482.000000000113,2243.0,2243.0,613.9999999999313,0.0,-0.0,2242.999999999967,1025.3906068965575,2152.000303448279,2476.311,2476.311,701.0799103448362,0.0,0.0,2152.000303448279,1264.5017517241436,2271.555875862072,2476.311,2476.311,1059.7466275862153,0.0,0.0,2271.555875862072,1503.6128965517305,2391.1114482758653,2476.311,2476.311,1418.4133448275957,218.41334482759567,0.0,2391.1114482758653,1742.7240413793174,2510.667020689659,2476.311,2476.311,1777.0800620689765,577.0800620689765,0.0,2510.667020689659,1981.8351862069044,2630.2225931034523,2476.311,2476.311,2135.7467793103565,935.7467793103565,0.0,2630.2225931034523
5,613.9999999999313,2242.999999999967,2448.0,2448.0,408.99999999989814,0.0,0.0,2447.9999999999864,701.0799103448362,2152.000303448279,2479.2,2479.2,373.8802137931152,0.0,0.0,2152.000303448279,1059.7466275862153,2271.555875862072,2479.2,2479.2,852.1025034482873,0.0,0.0,2271.555875862072,1418.4133448275957,2391.1114482758653,2479.2,2479.2,1330.3247931034612,130.32479310346116,0.0,2391.1114482758653,1777.0800620689765,2510.667020689659,2479.2,2479.2,1808.547082758635,608.547082758635,0.0,2510.667020689659,2135.7467793103565,2630.2225931034523,2479.2,2479.2,2286.769372413809,1086.769372413809,0.0,2630.2225931034523
6,408.99999999989814,2447.9999999999864,2232.0,2232.0,624.9999999998845,0.0,-0.0,2232.0000000000414,373.8802137931152,2152.000303448279,2470.426,2470.426,55.454517241394115,0.0,0.0,2152.000303448279,852.1025034482873,2271.555875862072,2470.426,2470.426,653.2323793103592,0.0,0.0,2271.555875862072,1330.3247931034612,2391.1114482758653,2470.426,2470.426,1251.0102413793265,51.010241379326544,0.0,2391.1114482758653,1808.547082758635,2510.667020689659,2470.426,2470.426,1848.788103448294,648.7881034482939,0.0,2510.667020689659,2286.769372413809,2630.2225931034523,2470.426,2470.426,2446.5659655172617,1246.5659655172617,0.0,2630.2225931034523
7,624.9999999998845,2232.0000000000414,3073.0,2856.999999999926,-0.0,0.0,216.00000000007412,2856.9999999999222,55.454517241394115,2152.000303448279,2492.471,2207.454820689673,0.0,0.0,285.01617931032706,2152.000303448279,653.2323793103592,2271.555875862072,2492.471,2492.471,432.31725517243103,0.0,0.0,2271.555875862072,1251.0102413793265,2391.1114482758653,2492.471,2492.471,1149.6506896551919,0.0,0.0,2391.1114482758653,1848.788103448294,2510.667020689659,2492.471,2492.471,1866.9841241379522,666.9841241379522,0.0,2510.667020689659,2446.5659655172617,2630.2225931034523,2492.471,2492.471,2584.317558620714,1384.317558620714,0.0,2630.2225931034523
8,-0.0,2856.9999999999222,2425.0,2425.0,431.99999999992224,0.0,0.0,2424.9999999999663,0.0,2152.000303448279,2493.063,2152.000303448279,0.0,0.0,341.0626965517213,2152.000303448279,432.31725517243103,2271.555875862072,2493.063,2493.063,210.81013103450277,0.0,0.0,2271.555875862072,1149.6506896551919,2391.1114482758653,2493.063,2493.063,1047.699137931057,0.0,0.0,2391.1114482758653,1866.9841241379522,2510.667020689659,2493.063,2493.063,1884.5881448276104,684.5881448276104,0.0,2510.667020689659,2584.317558620714,2630.2225931034523,2493.063,2493.063,2721.477151724166,1521.477151724166,0.0,2630.2225931034523
9,431.99999999992224,2424.9999999999663,2539.0,2539.0,317.9999999998886,0.0,-0.0,2538.9999999999395,0.0,2152.000303448279,2481.994,2152.000303448279,0.0,0.0,329.9936965517213,2152.000303448279,210.81013103450277,2271.555875862072,2481.994,2481.994,0.37200689657447583,0.0,0.0,2271.555875862072,1047.699137931057,2391.1114482758653,2481.994,2481.994,956.8165862069222,0.0,0.0,2391.1114482758653,1884.5881448276104,2510.667020689659,2481.994,2481.994,1913.261165517269,713.2611655172691,0.0,2510.667020689659,2721.477151724166,2630.2225931034523,2481.994,2481.994,2869.7057448276178,1669.7057448276178,0.0,2630.2225931034523
10,317.9999999998886,2538.9999999999395,2505.0,2505.0,351.9999999998281,0.0,-0.0,2505.0000000000296,0.0,2152.000303448279,2475.306,2152.000303448279,0.0,0.0,323.3056965517212,2152.000303448279,0.37200689657447583,2271.555875862072,2475.306,2271.9278827586463,0.0,0.0,203.37811724135372,2271.555875862072,956.8165862069222,2391.1114482758653,2475.306,2475.306,872.6220344827875,0.0,0.0,2391.1114482758653,1913.261165517269,2510.667020689659,2475.306,2475.306,1948.6221862069274,748.6221862069274,0.0,2510.667020689659,2869.7057448276178,2630.2225931034523,2475.306,2475.306,3024.62233793107,1824.62233793107,0.0,2630.2225931034523
