dia,fila_in,adm_in,w_proc,proc,fila_out,spill,ocioso,adm_out,custo
1,1200.0,3000.0,2477.547,2477.547,1722.453,522.453,0.0,1134.5469999998518,1.2546307518e7
2,1722.453,1134.5469999998518,2468.32,2468.32,388.6799999998516,0.0,0.0,2468.320000000015,2.9450305349997953e6
3,388.6799999998516,2468.320000000015,2477.509,2477.509,379.49099999986674,0.0,-0.0,2477.5089999999623,1.071598544999607e6
4,379.49099999986674,2477.5089999999623,2481.768,2481.768,375.231999999829,0.0,-0.0,2481.7680000000255,1.0528385849995762e6
5,375.231999999829,2481.7680000000255,2474.868,2474.868,382.13199999985454,0.0,-0.0,2474.868,1.0565227799995616e6
6,382.13199999985454,2474.868,2474.646,2474.646,382.3539999998543,0.0,-0.0,2474.646000000046,1.0664579699995928e6
7,382.3539999998543,2474.646000000046,2481.197,2481.197,375.8029999999003,0.0,-0.0,2481.1970000000356,1.0576290149996579e6
8,375.8029999999003,2481.1970000000356,2474.429,2474.429,382.5709999999358,0.0,-0.0,2474.4289999999723,1.0579317299997732e6
9,382.5709999999358,2474.4289999999723,2477.101,2477.101,379.898999999908,0.0,-0.0,2477.1010000000365,1.0636456499997824e6
10,379.898999999908,2477.1010000000365,2465.903,2465.903,391.0969999999447,0.0,-0.0,2465.902999999962,1.0755394199997932e6
11,391.0969999999447,2465.902999999962,2484.415,2484.415,372.5849999999068,0.0,0.0,2484.4150000000063,1.065336389999792e6
12,372.5849999999068,2484.4150000000063,2480.703,2480.703,376.29699999991317,0.0,0.0,2480.702999999962,1.0446903899997473e6
13,376.29699999991317,2480.702999999962,2480.593,2480.593,376.4069999998751,0.0,-0.0,2480.592999999956,1.050022079999704e6
14,376.4069999998751,2480.592999999956,2475.355,2475.355,381.64499999983127,0.0,-0.0,2475.355000000077,1.0574825399995893e6
15,381.64499999983127,2475.355000000077,2488.55,2488.55,368.44999999990796,0.0,0.0,2488.549999999995,1.0463825249996372e6
16,368.44999999990796,2488.549999999995,2471.479,2471.479,385.5209999999033,0.0,0.0,2471.4789999999475,1.0517895449997373e6
17,385.5209999999033,2471.4789999999475,2472.678,2472.678,384.32199999985096,0.0,0.0,2472.6780000000704,1.0739309849996567e6
18,384.32199999985096,2472.6780000000704,2478.983,2478.983,378.01699999992115,0.0,0.0,2478.9830000000024,1.0634629049996827e6
19,378.01699999992115,2478.9830000000024,2481.754,2481.754,375.2459999999237,0.0,-0.0,2481.7540000000445,1.0508018849997837e6
20,375.2459999999237,2481.7540000000445,2479.64,2479.64,377.3599999999683,0.0,0.0,2479.639999999959,1.0498853699998502e6
21,377.3599999999683,2479.639999999959,2500.341,2500.341,356.65899999992735,0.0,-0.0,2500.3410000000276,1.0239565049998537e6
22,356.65899999992735,2500.3410000000276,2475.682,2475.682,381.3179999999552,0.0,-0.0,2475.6819999999907,1.0294779149998352e6
23,381.3179999999552,2475.6819999999907,2483.786,2483.786,373.2139999999458,0.0,-0.0,2483.786000000021,1.052572139999861e6
24,373.2139999999458,2483.786000000021,2476.285,2476.285,380.71499999996695,0.0,0.0,2476.284999999989,1.051730954999879e6
25,380.71499999996695,2476.284999999989,2482.534,2482.534,374.4659999999558,0.0,0.0,2482.534000000017,1.053477494999892e6
26,374.4659999999558,2482.534000000017,2476.15,2476.15,380.8499999999726,0.0,0.0,2476.15,1.0536658199999006e6
27,380.8499999999726,2476.15,2472.406,2472.406,384.59399999997277,0.0,-0.0,2472.406000000006,1.067794379999924e6
28,384.59399999997277,2472.406000000006,2481.931,2481.931,375.0689999999786,0.0,0.0,2481.931000000015,1.0597298849999323e6
29,375.0689999999786,2481.931000000015,2472.109,2472.109,384.8909999999937,0.0,0.0,2540.1090000000013,1.0601441999999613e6
30,384.8909999999937,2540.1090000000013,2477.804,2477.804,447.1959999999949,0.0,0.0,0.0,1.1607613649999842e6
