
### MAR — Política `SDDP` (média 1000 sims)

| Dia | FilaIni | AdmIn | w_proc | Proc | FilaFim | Spill | Ocioso | AdmOut | Custo |
|----:|--------:|------:|-------:|-----:|--------:|------:|-------:|-------:|------:|
| 1 | 1200 | 3000 | 2476 | 2476 | 1724 | 524.5 | 0.0 | 1133 | 12.58M |
| 2 | 1724 | 1133 | 2492 | 2486 | 371.3 | 0.0 | 6.4 | 2486 | 3.21M |
| 3 | 371.3 | 2486 | 2493 | 2489 | 368.2 | 0.0 | 4.5 | 2489 | 1.23M |
| 4 | 368.2 | 2489 | 2485 | 2480 | 376.7 | 0.0 | 4.9 | 2480 | 1.26M |
| 5 | 376.7 | 2480 | 2478 | 2473 | 384.2 | 0.0 | 5.6 | 2473 | 1.31M |
| 6 | 384.2 | 2473 | 2479 | 2473 | 384.0 | 0.0 | 5.6 | 2473 | 1.32M |
| 7 | 384.0 | 2473 | 2495 | 2489 | 367.8 | 0.0 | 6.3 | 2489 | 1.32M |
| 8 | 367.8 | 2489 | 2468 | 2464 | 393.4 | 0.0 | 4.8 | 2464 | 1.27M |
| 9 | 393.4 | 2464 | 2477 | 2471 | 386.4 | 0.0 | 6.3 | 2471 | 1.36M |
| 10 | 386.4 | 2471 | 2497 | 2490 | 366.8 | 0.0 | 6.4 | 2490 | 1.33M |
| 11 | 366.8 | 2490 | 2478 | 2473 | 383.7 | 0.0 | 5.0 | 2473 | 1.27M |
| 12 | 383.7 | 2473 | 2490 | 2485 | 371.7 | 0.0 | 5.1 | 2485 | 1.28M |
| 13 | 371.7 | 2485 | 2486 | 2482 | 375.5 | 0.0 | 4.9 | 2482 | 1.26M |
| 14 | 375.5 | 2482 | 2474 | 2469 | 387.7 | 0.0 | 4.7 | 2469 | 1.27M |
| 15 | 387.7 | 2469 | 2481 | 2476 | 381.1 | 0.0 | 5.0 | 2476 | 1.29M |
| 16 | 381.1 | 2476 | 2476 | 2472 | 385.3 | 0.0 | 4.3 | 2472 | 1.26M |
